    7    5   1    2.819E-12 2.831E-12 3.113E-12 3.420E-12 3.641E-12 3.848E-12 4.040E-12 4.213E-12 4.366E-12 4.501E-12 4.620E-12 4.725E-12 5.133E-12 5.480E-12 6.224E-12 7.019E-12 7.793E-12 8.503E-12 9.138E-12 9.427E-12 9.696E-12 1.018E-11 1.060E-11 1.271E-11 1.309E-11
    8    5   2    6.145E-12 7.979E-12 9.553E-12 1.076E-11 1.170E-11 1.273E-11 1.383E-11 1.496E-11 1.609E-11 1.719E-11 1.825E-11 1.926E-11 2.361E-11 2.688E-11 3.132E-11 3.415E-11 3.608E-11 3.745E-11 3.843E-11 3.881E-11 3.913E-11 3.960E-11 3.989E-11 3.822E-11 3.439E-11
    9    5   3    6.058E-11 5.954E-11 6.229E-11 6.237E-11 6.123E-11 6.031E-11 5.968E-11 5.929E-11 5.906E-11 5.897E-11 5.900E-11 5.910E-11 6.054E-11 6.276E-11 6.774E-11 7.243E-11 7.655E-11 8.009E-11 8.310E-11 8.443E-11 8.565E-11 8.777E-11 8.953E-11 9.551E-11 9.291E-11
   10    5   4    8.243E-11 8.495E-11 8.114E-11 7.338E-11 6.965E-11 6.807E-11 6.758E-11 6.767E-11 6.810E-11 6.872E-11 6.944E-11 7.021E-11 7.417E-11 7.763E-11 8.290E-11 8.664E-11 8.940E-11 9.145E-11 9.293E-11 9.349E-11 9.394E-11 9.454E-11 9.479E-11 8.774E-11 7.702E-11
   11    6   1    7.920E-13 8.219E-13 9.698E-13 1.184E-12 1.380E-12 1.595E-12 1.829E-12 2.078E-12 2.334E-12 2.594E-12 2.852E-12 3.106E-12 4.269E-12 5.220E-12 6.627E-12 7.617E-12 8.348E-12 8.899E-12 9.312E-12 9.476E-12 9.618E-12 9.841E-12 1.000E-11 1.005E-11 9.369E-12
   12    6   2    6.872E-12 6.202E-12 6.220E-12 6.499E-12 6.773E-12 7.065E-12 7.362E-12 7.652E-12 7.927E-12 8.184E-12 8.423E-12 8.645E-12 9.569E-12 1.035E-11 1.184E-11 1.336E-11 1.482E-11 1.617E-11 1.738E-11 1.794E-11 1.845E-11 1.939E-11 2.020E-11 2.448E-11 2.552E-11
   13    6   3    8.109E-12 9.905E-12 1.251E-11 1.462E-11 1.582E-11 1.694E-11 1.810E-11 1.928E-11 2.047E-11 2.163E-11 2.277E-11 2.387E-11 2.872E-11 3.255E-11 3.808E-11 4.192E-11 4.474E-11 4.683E-11 4.836E-11 4.896E-11 4.946E-11 5.021E-11 5.069E-11 4.922E-11 4.509E-11
   14    6   4    8.269E-11 7.730E-11 7.616E-11 7.329E-11 7.053E-11 6.846E-11 6.699E-11 6.594E-11 6.522E-11 6.475E-11 6.447E-11 6.434E-11 6.519E-11 6.733E-11 7.256E-11 7.759E-11 8.194E-11 8.557E-11 8.854E-11 8.980E-11 9.093E-11 9.284E-11 9.435E-11 9.881E-11 9.623E-11
   15    6   5    2.359E-11 4.848E-11 6.553E-11 7.035E-11 6.983E-11 6.934E-11 6.926E-11 6.949E-11 6.993E-11 7.050E-11 7.115E-11 7.185E-11 7.537E-11 7.850E-11 8.348E-11 8.729E-11 9.023E-11 9.241E-11 9.391E-11 9.442E-11 9.480E-11 9.520E-11 9.521E-11 8.672E-11 7.649E-11
   16    7   1    5.351E-13 4.962E-13 5.021E-13 5.519E-13 6.149E-13 6.870E-13 7.648E-13 8.450E-13 9.253E-13 1.004E-12 1.080E-12 1.152E-12 1.456E-12 1.678E-12 1.999E-12 2.263E-12 2.512E-12 2.752E-12 2.978E-12 3.085E-12 3.188E-12 3.381E-12 3.556E-12 4.616E-12 4.961E-12
   17    7   2    2.146E-12 2.069E-12 2.232E-12 2.580E-12 2.926E-12 3.312E-12 3.738E-12 4.194E-12 4.669E-12 5.156E-12 5.647E-12 6.136E-12 8.456E-12 1.045E-11 1.355E-11 1.583E-11 1.759E-11 1.897E-11 2.007E-11 2.053E-11 2.094E-11 2.163E-11 2.217E-11 2.367E-11 2.276E-11
   18    7   3    9.882E-12 9.154E-12 8.923E-12 8.924E-12 9.056E-12 9.254E-12 9.485E-12 9.728E-12 9.970E-12 1.021E-11 1.044E-11 1.066E-11 1.170E-11 1.270E-11 1.472E-11 1.670E-11 1.854E-11 2.021E-11 2.168E-11 2.235E-11 2.298E-11 2.411E-11 2.511E-11 3.054E-11 3.202E-11
   19    7   4    1.444E-11 1.462E-11 1.669E-11 1.898E-11 2.023E-11 2.134E-11 2.246E-11 2.359E-11 2.471E-11 2.582E-11 2.689E-11 2.794E-11 3.256E-11 3.628E-11 4.184E-11 4.584E-11 4.886E-11 5.117E-11 5.292E-11 5.362E-11 5.422E-11 5.517E-11 5.584E-11 5.560E-11 5.184E-11
   20    7   5    8.737E-11 8.598E-11 8.551E-11 8.150E-11 7.775E-11 7.492E-11 7.283E-11 7.130E-11 7.018E-11 6.938E-11 6.882E-11 6.846E-11 6.862E-11 7.048E-11 7.570E-11 8.095E-11 8.555E-11 8.941E-11 9.255E-11 9.389E-11 9.508E-11 9.709E-11 9.869E-11 1.034E-10 1.008E-10
   21    7   6    2.717E-11 3.969E-11 5.799E-11 6.885E-11 7.060E-11 7.098E-11 7.125E-11 7.163E-11 7.212E-11 7.268E-11 7.328E-11 7.391E-11 7.706E-11 7.987E-11 8.449E-11 8.815E-11 9.104E-11 9.321E-11 9.470E-11 9.522E-11 9.560E-11 9.602E-11 9.604E-11 8.800E-11 7.821E-11
   22    8   1    2.334E-13 2.270E-13 2.367E-13 2.704E-13 3.152E-13 3.705E-13 4.357E-13 5.094E-13 5.902E-13 6.767E-13 7.675E-13 8.614E-13 1.345E-12 1.802E-12 2.563E-12 3.150E-12 3.623E-12 4.018E-12 4.355E-12 4.505E-12 4.646E-12 4.899E-12 5.120E-12 6.257E-12 6.434E-12
   23    8   2    1.139E-12 1.078E-12 1.077E-12 1.144E-12 1.247E-12 1.372E-12 1.512E-12 1.660E-12 1.813E-12 1.967E-12 2.121E-12 2.272E-12 2.962E-12 3.535E-12 4.428E-12 5.135E-12 5.749E-12 6.305E-12 6.820E-12 7.064E-12 7.300E-12 7.749E-12 8.169E-12 1.102E-11 1.213E-11
   24    8   3    3.623E-12 3.490E-12 3.604E-12 3.963E-12 4.361E-12 4.807E-12 5.295E-12 5.816E-12 6.359E-12 6.915E-12 7.476E-12 8.037E-12 1.072E-11 1.307E-11 1.681E-11 1.959E-11 2.177E-11 2.354E-11 2.502E-11 2.567E-11 2.627E-11 2.735E-11 2.827E-11 3.279E-11 3.311E-11
   25    8   4    1.210E-11 1.156E-11 1.137E-11 1.117E-11 1.114E-11 1.122E-11 1.134E-11 1.149E-11 1.165E-11 1.182E-11 1.199E-11 1.216E-11 1.306E-11 1.407E-11 1.636E-11 1.874E-11 2.101E-11 2.307E-11 2.492E-11 2.576E-11 2.656E-11 2.803E-11 2.934E-11 3.698E-11 3.932E-11
   26    8   5    2.091E-11 2.057E-11 2.186E-11 2.383E-11 2.504E-11 2.609E-11 2.711E-11 2.813E-11 2.914E-11 3.014E-11 3.111E-11 3.206E-11 3.626E-11 3.965E-11 4.470E-11 4.826E-11 5.095E-11 5.307E-11 5.481E-11 5.556E-11 5.626E-11 5.749E-11 5.853E-11 6.288E-11 6.155E-11
   27    8   6    8.614E-11 8.782E-11 8.990E-11 8.661E-11 8.268E-11 7.953E-11 7.711E-11 7.527E-11 7.387E-11 7.283E-11 7.208E-11 7.155E-11 7.113E-11 7.272E-11 7.784E-11 8.329E-11 8.829E-11 9.269E-11 9.650E-11 9.820E-11 9.979E-11 1.026E-10 1.051E-10 1.169E-10 1.172E-10
   28    8   7    3.832E-11 4.458E-11 5.807E-11 6.991E-11 7.296E-11 7.392E-11 7.440E-11 7.480E-11 7.522E-11 7.568E-11 7.617E-11 7.668E-11 7.929E-11 8.167E-11 8.554E-11 8.845E-11 9.074E-11 9.260E-11 9.413E-11 9.479E-11 9.540E-11 9.644E-11 9.728E-11 9.799E-11 9.205E-11
   29    9   1    9.917E-14 9.680E-14 9.953E-14 1.101E-13 1.263E-13 1.472E-13 1.723E-13 2.009E-13 2.324E-13 2.664E-13 3.021E-13 3.393E-13 5.327E-13 7.227E-13 1.057E-12 1.307E-12 1.483E-12 1.610E-12 1.710E-12 1.751E-12 1.796E-12 1.874E-12 1.948E-12 2.537E-12 2.828E-12
   30    9   2    5.421E-13 5.324E-13 5.491E-13 6.046E-13 6.854E-13 7.880E-13 9.101E-13 1.049E-12 1.203E-12 1.368E-12 1.543E-12 1.725E-12 2.693E-12 3.687E-12 5.560E-12 7.076E-12 8.233E-12 9.140E-12 9.885E-12 9.973E-12 1.052E-11 1.108E-11 1.158E-11 1.445E-11 1.517E-11
   31    9   3    1.692E-12 1.627E-12 1.624E-12 1.675E-12 1.777E-12 1.909E-12 2.061E-12 2.225E-12 2.397E-12 2.571E-12 2.746E-12 2.920E-12 3.749E-12 4.528E-12 5.991E-12 7.213E-12 8.168E-12 8.933E-12 9.581E-12 9.802E-12 1.016E-11 1.068E-11 1.117E-11 1.467E-11 1.618E-11
   32    9   4    5.331E-12 5.192E-12 5.268E-12 5.564E-12 5.959E-12 6.423E-12 6.940E-12 7.493E-12 8.069E-12 8.658E-12 9.251E-12 9.843E-12 1.268E-11 1.530E-11 1.999E-11 2.365E-11 2.630E-11 2.825E-11 2.973E-11 3.034E-11 3.093E-11 3.192E-11 3.278E-11 3.728E-11 3.785E-11
   33    9   5    1.365E-11 1.336E-11 1.336E-11 1.308E-11 1.290E-11 1.284E-11 1.286E-11 1.291E-11 1.300E-11 1.310E-11 1.321E-11 1.334E-11 1.409E-11 1.516E-11 1.811E-11 2.113E-11 2.368E-11 2.577E-11 2.753E-11 2.810E-11 2.905E-11 3.040E-11 3.161E-11 3.923E-11 4.188E-11
   34    9   6    2.698E-11 2.681E-11 2.764E-11 2.895E-11 2.988E-11 3.074E-11 3.161E-11 3.251E-11 3.342E-11 3.432E-11 3.520E-11 3.606E-11 3.996E-11 4.339E-11 4.950E-11 5.420E-11 5.740E-11 5.954E-11 6.103E-11 6.157E-11 6.212E-11 6.297E-11 6.366E-11 6.622E-11 6.449E-11
   35    9   7    8.255E-11 8.606E-11 9.046E-11 8.868E-11 8.498E-11 8.178E-11 7.924E-11 7.728E-11 7.579E-11 7.466E-11 7.384E-11 7.325E-11 7.275E-11 7.475E-11 8.199E-11 8.926E-11 9.488E-11 9.906E-11 1.023E-10 1.031E-10 1.049E-10 1.072E-10 1.091E-10 1.194E-10 1.198E-10
   36    9   8    4.837E-11 5.357E-11 6.315E-11 7.320E-11 7.633E-11 7.739E-11 7.788E-11 7.824E-11 7.859E-11 7.897E-11 7.938E-11 7.980E-11 8.212E-11 8.471E-11 9.047E-11 9.532E-11 9.857E-11 1.006E-10 1.019E-10 1.023E-10 1.028E-10 1.034E-10 1.038E-10 1.022E-10 9.536E-11
   37   10   1    4.788E-14 4.786E-14 5.022E-14 5.630E-14 6.563E-14 7.829E-14 9.425E-14 1.135E-13 1.357E-13 1.609E-13 1.888E-13 2.190E-13 3.951E-13 5.897E-13 9.639E-13 1.288E-12 1.567E-12 1.812E-12 2.032E-12 2.133E-12 2.229E-12 2.409E-12 2.572E-12 3.590E-12 3.949E-12
   38   10   2    2.215E-13 2.165E-13 2.213E-13 2.382E-13 2.667E-13 3.050E-13 3.519E-13 4.062E-13 4.670E-13 5.333E-13 6.042E-13 6.789E-13 1.084E-12 1.498E-12 2.234E-12 2.815E-12 3.267E-12 3.631E-12 3.935E-12 4.071E-12 4.199E-12 4.437E-12 4.655E-12 6.276E-12 7.117E-12
   39   10   3    8.865E-13 8.718E-13 8.934E-13 9.534E-13 1.049E-12 1.175E-12 1.324E-12 1.494E-12 1.681E-12 1.882E-12 2.093E-12 2.313E-12 3.473E-12 4.624E-12 6.677E-12 8.383E-12 9.821E-12 1.106E-11 1.215E-11 1.264E-11 1.311E-11 1.397E-11 1.474E-11 1.939E-11 2.090E-11
   40   10   4    2.243E-12 2.177E-12 2.188E-12 2.223E-12 2.313E-12 2.440E-12 2.590E-12 2.755E-12 2.927E-12 3.103E-12 3.280E-12 3.455E-12 4.290E-12 5.045E-12 6.385E-12 7.578E-12 8.656E-12 9.636E-12 1.053E-11 1.095E-11 1.135E-11 1.211E-11 1.281E-11 1.761E-11 1.976E-11
   41   10   5    7.175E-12 7.072E-12 7.199E-12 7.432E-12 7.797E-12 8.253E-12 8.771E-12 9.327E-12 9.908E-12 1.050E-11 1.110E-11 1.169E-11 1.451E-11 1.697E-11 2.094E-11 2.403E-11 2.653E-11 2.860E-11 3.035E-11 3.113E-11 3.186E-11 3.317E-11 3.431E-11 4.072E-11 4.229E-11
   42   10   6    1.453E-11 1.443E-11 1.471E-11 1.451E-11 1.427E-11 1.413E-11 1.406E-11 1.404E-11 1.406E-11 1.410E-11 1.416E-11 1.424E-11 1.480E-11 1.564E-11 1.785E-11 2.033E-11 2.277E-11 2.506E-11 2.715E-11 2.812E-11 2.905E-11 3.077E-11 3.234E-11 4.207E-11 4.563E-11
   43   10   7    3.254E-11 3.291E-11 3.401E-11 3.481E-11 3.541E-11 3.603E-11 3.671E-11 3.742E-11 3.816E-11 3.890E-11 3.964E-11 4.037E-11 4.366E-11 4.637E-11 5.056E-11 5.371E-11 5.620E-11 5.825E-11 5.996E-11 6.072E-11 6.142E-11 6.269E-11 6.378E-11 6.936E-11 6.938E-11
   44   10   8    7.716E-11 8.124E-11 8.697E-11 8.714E-11 8.427E-11 8.145E-11 7.911E-11 7.726E-11 7.581E-11 7.471E-11 7.389E-11 7.330E-11 7.272E-11 7.423E-11 7.927E-11 8.464E-11 8.958E-11 9.401E-11 9.794E-11 9.975E-11 1.015E-10 1.046E-10 1.074E-10 1.238E-10 1.274E-10
   45   10   9    5.762E-11 6.370E-11 7.198E-11 7.967E-11 8.209E-11 8.282E-11 8.305E-11 8.316E-11 8.328E-11 8.343E-11 8.363E-11 8.385E-11 8.528E-11 8.682E-11 8.971E-11 9.224E-11 9.445E-11 9.638E-11 9.806E-11 9.881E-11 9.952E-11 1.008E-10 1.019E-10 1.061E-10 1.026E-10
   46   11   1    1.935E-14 1.939E-14 2.037E-14 2.272E-14 2.644E-14 3.167E-14 3.845E-14 4.677E-14 5.663E-14 6.798E-14 8.076E-14 9.489E-14 1.818E-13 2.852E-13 4.967E-13 6.813E-13 8.310E-13 9.509E-13 1.048E-12 1.091E-12 1.130E-12 1.199E-12 1.261E-12 1.674E-12 1.887E-12
   47   11   2    1.110E-13 1.108E-13 1.157E-13 1.269E-13 1.445E-13 1.689E-13 1.998E-13 2.370E-13 2.802E-13 3.292E-13 3.835E-13 4.427E-13 7.942E-13 1.196E-12 2.006E-12 2.739E-12 3.383E-12 3.954E-12 4.465E-12 4.703E-12 4.929E-12 5.351E-12 5.738E-12 8.271E-12 9.278E-12
   48   11   3    3.491E-13 3.416E-13 3.481E-13 3.666E-13 4.003E-13 4.474E-13 5.055E-13 5.729E-13 6.480E-13 7.296E-13 8.166E-13 9.081E-13 1.406E-12 1.922E-12 2.881E-12 3.686E-12 4.346E-12 4.895E-12 5.363E-12 5.573E-12 5.771E-12 6.137E-12 6.469E-12 8.819E-12 1.000E-11
   49   11   4    1.293E-12 1.276E-12 1.308E-12 1.371E-12 1.477E-12 1.620E-12 1.792E-12 1.987E-12 2.200E-12 2.427E-12 2.666E-12 2.912E-12 4.193E-12 5.448E-12 7.688E-12 9.569E-12 1.117E-11 1.256E-11 1.379E-11 1.435E-11 1.488E-11 1.586E-11 1.673E-11 2.215E-11 2.406E-11
   50   11   5    2.754E-12 2.701E-12 2.741E-12 2.773E-12 2.850E-12 2.969E-12 3.115E-12 3.278E-12 3.449E-12 3.625E-12 3.801E-12 3.975E-12 4.801E-12 5.545E-12 6.886E-12 8.116E-12 9.265E-12 1.034E-11 1.133E-11 1.180E-11 1.226E-11 1.311E-11 1.391E-11 1.938E-11 2.181E-11
   51   11   6    8.996E-12 8.935E-12 9.123E-12 9.309E-12 9.632E-12 1.007E-11 1.059E-11 1.115E-11 1.173E-11 1.233E-11 1.294E-11 1.354E-11 1.635E-11 1.879E-11 2.272E-11 2.578E-11 2.828E-11 3.037E-11 3.215E-11 3.294E-11 3.368E-11 3.501E-11 3.618E-11 4.273E-11 4.437E-11
   52   11   7    1.491E-11 1.500E-11 1.552E-11 1.547E-11 1.520E-11 1.500E-11 1.489E-11 1.482E-11 1.480E-11 1.481E-11 1.483E-11 1.488E-11 1.535E-11 1.614E-11 1.831E-11 2.080E-11 2.328E-11 2.562E-11 2.778E-11 2.879E-11 2.975E-11 3.155E-11 3.318E-11 4.340E-11 4.716E-11
   53   11   8    3.720E-11 3.801E-11 3.944E-11 4.005E-11 4.042E-11 4.086E-11 4.138E-11 4.195E-11 4.256E-11 4.319E-11 4.382E-11 4.444E-11 4.729E-11 4.967E-11 5.338E-11 5.621E-11 5.849E-11 6.038E-11 6.198E-11 6.270E-11 6.336E-11 6.455E-11 6.559E-11 7.084E-11 7.070E-11
   54   11   9    7.140E-11 7.596E-11 8.254E-11 8.412E-11 8.196E-11 7.959E-11 7.756E-11 7.593E-11 7.466E-11 7.370E-11 7.300E-11 7.252E-11 7.228E-11 7.402E-11 7.937E-11 8.495E-11 9.007E-11 9.462E-11 9.866E-11 1.005E-10 1.022E-10 1.055E-10 1.083E-10 1.250E-10 1.287E-10
   55   11  10    6.534E-11 7.232E-11 8.031E-11 8.694E-11 8.911E-11 8.960E-11 8.954E-11 8.936E-11 8.918E-11 8.906E-11 8.899E-11 8.898E-11 8.943E-11 9.029E-11 9.227E-11 9.421E-11 9.601E-11 9.765E-11 9.911E-11 9.978E-11 1.004E-10 1.016E-10 1.026E-10 1.064E-10 1.028E-10
   56   12   1    8.733E-15 9.005E-15 9.743E-15 1.120E-14 1.328E-14 1.631E-14 2.057E-14 2.626E-14 3.350E-14 4.235E-14 5.279E-14 6.475E-14 1.430E-13 2.398E-13 4.429E-13 6.284E-13 7.899E-13 9.307E-13 1.056E-12 1.113E-12 1.168E-12 1.271E-12 1.365E-12 2.026E-12 2.324E-12
   57   12   2    4.342E-14 4.388E-14 4.642E-14 5.164E-14 5.927E-14 7.008E-14 8.463E-14 1.033E-13 1.263E-13 1.537E-13 1.852E-13 2.206E-13 4.441E-13 7.123E-13 1.262E-12 1.747E-12 2.147E-12 2.472E-12 2.737E-12 2.852E-12 2.958E-12 3.145E-12 3.308E-12 4.337E-12 4.825E-12
   58   12   3    1.801E-13 1.805E-13 1.884E-13 2.048E-13 2.293E-13 2.627E-13 3.058E-13 3.586E-13 4.210E-13 4.925E-13 5.723E-13 6.594E-13 1.171E-12 1.739E-12 2.841E-12 3.811E-12 4.653E-12 5.394E-12 6.056E-12 6.362E-12 6.655E-12 7.201E-12 7.703E-12 1.107E-11 1.248E-11
   59   12   4    4.859E-13 4.797E-13 4.909E-13 5.157E-13 5.555E-13 6.084E-13 6.727E-13 7.470E-13 8.305E-13 9.219E-13 1.020E-12 1.124E-12 1.697E-12 2.298E-12 3.422E-12 4.376E-12 5.173E-12 5.845E-12 6.425E-12 6.688E-12 6.936E-12 7.393E-12 7.810E-12 1.070E-11 1.207E-11
   60   12   5    1.748E-12 1.727E-12 1.755E-12 1.822E-12 1.940E-12 2.095E-12 2.278E-12 2.483E-12 2.706E-12 2.943E-12 3.191E-12 3.448E-12 4.781E-12 6.085E-12 8.406E-12 1.036E-11 1.204E-11 1.352E-11 1.483E-11 1.543E-11 1.600E-11 1.705E-11 1.800E-11 2.392E-11 2.601E-11
   61   12   6    3.194E-12 3.156E-12 3.201E-12 3.245E-12 3.321E-12 3.418E-12 3.527E-12 3.642E-12 3.761E-12 3.884E-12 4.010E-12 4.139E-12 4.818E-12 5.531E-12 6.974E-12 8.360E-12 9.656E-12 1.086E-11 1.196E-11 1.248E-11 1.298E-11 1.393E-11 1.480E-11 2.076E-11 2.334E-11
   62   12   7    1.088E-11 1.081E-11 1.090E-11 1.100E-11 1.130E-11 1.171E-11 1.216E-11 1.264E-11 1.313E-11 1.362E-11 1.411E-11 1.460E-11 1.692E-11 1.901E-11 2.259E-11 2.555E-11 2.806E-11 3.021E-11 3.208E-11 3.292E-11 3.371E-11 3.514E-11 3.641E-11 4.364E-11 4.547E-11
   63   12   8    1.478E-11 1.502E-11 1.559E-11 1.578E-11 1.564E-11 1.547E-11 1.532E-11 1.520E-11 1.514E-11 1.511E-11 1.512E-11 1.518E-11 1.585E-11 1.697E-11 1.972E-11 2.256E-11 2.523E-11 2.766E-11 2.985E-11 3.087E-11 3.183E-11 3.361E-11 3.523E-11 4.535E-11 4.900E-11
   64   12   9    4.193E-11 4.272E-11 4.348E-11 4.351E-11 4.377E-11 4.416E-11 4.459E-11 4.504E-11 4.547E-11 4.590E-11 4.630E-11 4.669E-11 4.839E-11 4.984E-11 5.236E-11 5.461E-11 5.666E-11 5.852E-11 6.018E-11 6.095E-11 6.168E-11 6.301E-11 6.421E-11 7.080E-11 7.112E-11
   65   12  10    6.441E-11 6.888E-11 7.484E-11 7.808E-11 7.749E-11 7.606E-11 7.461E-11 7.337E-11 7.239E-11 7.167E-11 7.118E-11 7.088E-11 7.142E-11 7.372E-11 7.973E-11 8.571E-11 9.111E-11 9.588E-11 1.001E-10 1.020E-10 1.038E-10 1.072E-10 1.101E-10 1.275E-10 1.311E-10
