!MOLECULE
OCS
!MOLECULAR WEIGHT
60.0
!NUMBER OF ENERGY LEVELS
99
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    8     9     8    2.5802e-06      97.3012085     21.01
    9    10     9    3.6973e-06     109.4630630     26.27
   10    11    10    5.0991e-06     121.6246380     32.10
   11    12    11    6.8163e-06     133.7859000     38.52
   12    13    12    8.8805e-06     145.9468120     45.53
   13    14    13    1.1325e-05     158.1073600     53.12
   14    15    14    1.4183e-05     170.2674940     61.29
   15    16    15    1.7483e-05     182.4271956     70.04
   16    17    16    2.1261e-05     194.5864330     79.38
   17    18    17    2.5545e-05     206.7451610     89.30
   18    19    18    3.0371e-05     218.9033565     99.81
   19    20    19    3.5769e-05     231.0609830    110.90
   20    21    20    4.1766e-05     243.2180400    122.57
   21    22    21    4.8411e-05     255.3744610    134.83
   22    23    22    5.5713e-05     267.5302390    147.67
   23    24    23    6.3719e-05     279.6853180    161.09
   24    25    24    7.2460e-05     291.8396730    175.10
   25    26    25    8.1948e-05     303.9932420    189.68
   26    27    26    9.2256e-05     316.1460630    204.86
   27    28    27    1.0339e-04     328.2981073    220.61
   28    29    28    1.1536e-04     340.4492000    236.95
   29    30    29    1.2823e-04     352.5995757    253.87
   30    31    30    1.4202e-04     364.7489600    271.38
   31    32    31    1.5679e-04     376.8974201    289.47
   32    33    32    1.7251e-04     389.0410000    308.14
   33    34    33    1.8926e-04     401.1913880    327.39
   34    35    34    2.0708e-04     413.3368447    347.23
   35    36    35    2.2596e-04     425.4812366    367.65
   36    37    36    2.4596e-04     437.6245620    388.65
   37    38    37    2.6714e-04     449.7667085    410.24
   38    39    38    2.8943e-04     461.9077259    432.40
   39    40    39    3.1295e-04     474.0475600    455.16
   40    41    40    3.3772e-04     486.1842000    478.49
   41    42    41    3.6380e-04     498.3235286    502.40
   42    43    42    3.9112e-04     510.4573000    526.90
   43    44    43    4.1985e-04     522.5943763    551.98
   44    45    44    4.4990e-04     534.7278001    577.64
   45    46    45    4.8125e-04     546.8598488    603.89
   46    47    46    5.1412e-04     558.9904912    630.72
   47    48    47    5.4853e-04     571.1196958    658.13
   48    49    48    5.8435e-04     583.2474315    686.12
   49    50    49    6.2170e-04     595.3736669    714.69
   50    51    50    6.6058e-04     607.4983707    743.85
   51    52    51    7.0099e-04     619.6215116    773.58
   52    53    52    7.4308e-04     631.7430583    803.90
   53    54    53    7.8687e-04     643.8629795    834.80
   54    55    54    8.3215e-04     655.9812439    866.28
   55    56    55    8.7931e-04     668.0978201    898.35
   56    57    56    9.2816e-04     680.2126769    930.99
   57    58    57    9.7890e-04     692.3257829    964.22
   58    59    58    1.0313e-03     704.4370520    998.03
   59    60    59    1.0857e-03     716.5465590   1032.41
   60    61    60    1.1416e-03     728.6542827   1067.38
   61    62    61    1.1998e-03     740.7600722   1102.93
   62    63    62    1.2595e-03     752.8639543   1139.07
   63    64    63    1.3215e-03     764.9658975   1175.78
   64    65    64    1.3853e-03     777.0658705   1213.07
   65    66    65    1.4514e-03     789.1638420   1250.94
   66    67    66    1.5193e-03     801.2597820   1289.40
   67    68    67    1.5891e-03     813.3537060   1328.43
   68    69    68    1.6614e-03     825.4454339   1368.05
   69    70    69    1.7356e-03     837.5350857   1408.24
   70    71    70    1.8121e-03     849.6225792   1449.02
   71    72    71    1.8907e-03     861.7078830   1490.37
   72    73    72    1.9716e-03     873.7909657   1532.31
   73    74    73    2.0547e-03     885.8717958   1574.82
   74    75    74    2.1401e-03     897.9503421   1617.92
   75    76    75    2.2276e-03     910.0265732   1661.59
   76    77    76    2.3178e-03     922.1004575   1705.85
   77    78    77    2.4102e-03     934.1719638   1750.68
   78    79    78    2.5048e-03     946.2410606   1796.09
   79    80    79    2.6021e-03     958.3077164   1842.08
   80    81    80    2.7016e-03     970.3719000   1888.65
   81    82    81    2.8038e-03     982.4335798   1935.80
   82    83    82    2.9088e-03     994.4927245   1983.53
   83    84    83    3.0159e-03    1006.5493026   2031.83
   84    85    84    3.1258e-03    1018.6032826   2080.72
   85    86    85    3.2384e-03    1030.6546332   2130.18
   86    87    86    3.3538e-03    1042.7033228   2180.22
   87    88    87    3.4712e-03    1054.7493201   2230.84
   88    89    88    3.5923e-03    1066.7925935   2282.04
   89    90    89    3.7152e-03    1078.8331117   2333.82
   90    91    90    3.8409e-03    1090.8708431   2386.17
   91    92    91    3.9703e-03    1102.9057562   2439.10
   92    93    92    4.1015e-03    1114.9378197   2492.61
   93    94    93    4.2355e-03    1126.9670019   2546.69
   94    95    94    4.3731e-03    1138.9932715   2601.36
   95    96    95    4.5136e-03    1151.0165969   2656.60
   96    97    96    4.6567e-03    1163.0369466   2712.41
   97    98    97    4.8026e-03    1175.0542891   2768.81
   98    99    98    4.9523e-03    1187.0685929   2825.78
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 OCS-H2 from Green & Chapman 1978 + extrapolation
!NUMBER OF COLL TRANS
4851
!NUMBER OF COLL TEMPS
8
!COLL TEMPS
   10.0   20.0   40.0   60.0   80.0  100.0  200.0  500.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  3.9e-11 3.6e-11 3.4e-11 3.4e-11 3.3e-11 3.3e-11 3.3e-11 3.3e-11
    2     3     1  5.5e-11 5.5e-11 5.5e-11 5.4e-11 5.4e-11 5.3e-11 5.8e-11 6.4e-11
    3     3     2  5.5e-11 5.6e-11 6.0e-11 6.2e-11 6.3e-11 6.2e-11 6.2e-11 6.3e-11
    4     4     1  6.0e-12 7.8e-12 1.1e-11 1.2e-11 1.3e-11 1.3e-11 1.5e-11 1.8e-11
    5     4     2  1.1e-10 1.0e-10 9.9e-11 9.7e-11 9.6e-11 9.4e-11 1.0e-10 1.2e-10
    6     4     3  6.9e-11 6.8e-11 7.0e-11 7.1e-11 7.1e-11 7.0e-11 7.1e-11 7.1e-11
    7     5     1  1.8e-11 1.7e-11 1.7e-11 1.6e-11 1.6e-11 1.6e-11 1.8e-11 2.1e-11
    8     5     2  1.5e-11 1.8e-11 2.2e-11 2.4e-11 2.5e-11 2.5e-11 2.9e-11 3.5e-11
    9     5     3  1.2e-10 1.1e-10 1.1e-10 1.1e-10 1.1e-10 1.1e-10 1.2e-10 1.4e-10
   10     5     4  6.2e-11 6.3e-11 6.8e-11 7.0e-11 7.0e-11 7.0e-11 7.1e-11 7.2e-11
   11     6     1  3.3e-12 3.5e-12 3.8e-12 4.0e-12 4.1e-12 4.2e-12 4.7e-12 5.3e-12
   12     6     2  3.2e-11 3.1e-11 3.1e-11 3.1e-11 3.1e-11 3.0e-11 3.4e-11 3.9e-11
   13     6     3  1.7e-11 2.0e-11 2.5e-11 2.7e-11 2.7e-11 2.8e-11 3.3e-11 4.0e-11
   14     6     4  1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.1e-10 1.1e-10 1.2e-10 1.4e-10
   15     6     5  7.3e-11 7.2e-11 7.4e-11 7.5e-11 7.4e-11 7.3e-11 7.4e-11 7.5e-11
   16     7     1  3.9e-12 4.0e-12 4.5e-12 5.0e-12 5.4e-12 5.6e-12 7.0e-12 9.1e-12
   17     7     2  7.1e-12 7.0e-12 7.2e-12 7.4e-12 7.5e-12 7.7e-12 8.6e-12 9.8e-12
   18     7     3  3.8e-11 3.7e-11 3.7e-11 3.7e-11 3.7e-11 3.7e-11 4.2e-11 4.9e-11
   19     7     4  2.4e-11 2.5e-11 2.9e-11 3.1e-11 3.1e-11 3.1e-11 3.7e-11 4.5e-11
   20     7     5  1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.3e-10 1.5e-10
   21     7     6  7.3e-11 7.2e-11 7.6e-11 7.7e-11 7.7e-11 7.6e-11 7.8e-11 7.9e-11
   22     8     1  1.5e-12 1.3e-12 1.2e-12 1.1e-12 1.2e-12 1.2e-12 1.1e-12 1.0e-12
   23     8     2  9.3e-12 9.2e-12 9.7e-12 1.1e-11 1.1e-11 1.2e-11 1.5e-11 2.0e-11
   24     8     3  8.9e-12 9.1e-12 9.4e-12 9.5e-12 9.7e-12 9.8e-12 1.1e-11 1.3e-11
   25     8     4  4.3e-11 4.2e-11 4.1e-11 4.1e-11 4.1e-11 4.1e-11 4.6e-11 5.4e-11
   26     8     5  2.8e-11 3.0e-11 3.4e-11 3.5e-11 3.5e-11 3.5e-11 4.1e-11 5.1e-11
   27     8     6  1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.3e-10 1.5e-10
   28     8     7  7.6e-11 7.8e-11 8.2e-11 8.3e-11 8.2e-11 8.1e-11 8.3e-11 8.5e-11
   29     9     1  1.6e-12 1.7e-12 1.8e-12 2.0e-12 2.2e-12 2.4e-12 3.1e-12 4.2e-12
   30     9     2  4.0e-12 3.6e-12 3.2e-12 3.0e-12 3.0e-12 3.0e-12 2.8e-12 2.5e-12
   31     9     3  1.1e-11 1.2e-11 1.2e-11 1.3e-11 1.4e-11 1.5e-11 1.9e-11 2.5e-11
   32     9     4  1.2e-11 1.3e-11 1.3e-11 1.4e-11 1.4e-11 1.4e-11 1.6e-11 1.8e-11
   33     9     5  4.4e-11 4.5e-11 4.4e-11 4.4e-11 4.3e-11 4.3e-11 4.9e-11 5.7e-11
   34     9     6  3.0e-11 3.2e-11 3.6e-11 3.8e-11 3.8e-11 3.8e-11 4.5e-11 5.6e-11
   35     9     7  1.3e-10 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.3e-10 1.5e-10
   36     9     8  6.7e-11 7.3e-11 8.0e-11 8.2e-11 8.1e-11 8.0e-11 8.2e-11 8.4e-11
   37    10     1  1.1e-12 1.0e-12 9.0e-13 8.4e-13 8.1e-13 7.9e-13 7.1e-13 6.3e-13
   38    10     2  4.7e-12 4.4e-12 4.2e-12 4.4e-12 4.8e-12 5.2e-12 6.6e-12 9.1e-12
   39    10     3  7.3e-12 7.0e-12 6.4e-12 6.1e-12 6.0e-12 5.9e-12 5.5e-12 5.0e-12
   40    10     4  1.4e-11 1.3e-11 1.4e-11 1.5e-11 1.6e-11 1.6e-11 2.0e-11 2.6e-11
   41    10     5  1.4e-11 1.5e-11 1.6e-11 1.6e-11 1.6e-11 1.6e-11 1.8e-11 2.1e-11
   42    10     6  4.8e-11 4.9e-11 4.7e-11 4.6e-11 4.6e-11 4.5e-11 5.1e-11 5.9e-11
   43    10     7  2.6e-11 3.0e-11 3.6e-11 3.8e-11 3.9e-11 3.9e-11 4.6e-11 5.7e-11
   44    10     8  1.2e-10 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.3e-10 1.5e-10
   45    10     9  6.8e-11 7.3e-11 8.0e-11 8.2e-11 8.2e-11 8.1e-11 8.3e-11 8.5e-11
   46    11     1  1.0e-12 1.0e-12 9.5e-13 9.7e-13 1.0e-12 1.1e-12 1.3e-12 1.6e-12
   47    11     2  4.0e-12 3.8e-12 3.6e-12 3.5e-12 3.4e-12 3.3e-12 3.0e-12 2.6e-12
   48    11     3  5.1e-12 5.0e-12 5.0e-12 5.3e-12 5.7e-12 6.2e-12 7.8e-12 1.1e-11
   49    11     4  9.1e-12 9.2e-12 8.8e-12 8.6e-12 8.5e-12 8.5e-12 7.9e-12 7.2e-12
   50    11     5  1.4e-11 1.5e-11 1.6e-11 1.7e-11 1.7e-11 1.8e-11 2.2e-11 3.0e-11
   51    11     6  1.5e-11 1.6e-11 1.6e-11 1.7e-11 1.7e-11 1.7e-11 1.9e-11 2.2e-11
   52    11     7  4.7e-11 5.0e-11 4.9e-11 4.8e-11 4.8e-11 4.7e-11 5.3e-11 6.2e-11
   53    11     8  3.0e-11 3.2e-11 3.6e-11 3.8e-11 3.8e-11 3.8e-11 4.5e-11 5.6e-11
   54    11     9  1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.2e-10 1.3e-10 1.5e-10
   55    11    10  6.8e-11 7.4e-11 8.1e-11 8.2e-11 8.2e-11 8.0e-11 8.3e-11 8.5e-11
   56    12     1  1.7e-12 1.7e-12 1.6e-12 1.5e-12 1.5e-12 1.4e-12 1.3e-12 1.3e-12
   57    12     2  2.2e-12 2.2e-12 2.0e-12 2.1e-12 2.1e-12 2.2e-12 2.5e-12 3.1e-12
   58    12     3  6.5e-12 6.7e-12 6.4e-12 6.2e-12 6.0e-12 5.9e-12 5.3e-12 4.6e-12
   59    12     4  6.5e-12 6.4e-12 6.3e-12 6.6e-12 7.0e-12 7.5e-12 9.4e-12 1.3e-11
   60    12     5  9.5e-12 9.8e-12 9.3e-12 9.1e-12 9.1e-12 9.2e-12 8.5e-12 7.7e-12
   61    12     6  1.6e-11 1.6e-11 1.7e-11 1.8e-11 1.9e-11 2.0e-11 2.5e-11 3.3e-11
   62    12     7  1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.6e-11 1.6e-11 1.8e-11 2.1e-11
   63    12     8  4.9e-11 5.1e-11 5.0e-11 4.9e-11 4.9e-11 4.8e-11 5.4e-11 6.3e-11
   64    12     9  2.7e-11 3.1e-11 3.5e-11 3.7e-11 3.8e-11 3.8e-11 4.5e-11 5.6e-11
   65    12    10  1.2e-10 1.3e-10 1.3e-10 1.3e-10 1.2e-10 1.2e-10 1.3e-10 1.5e-10
   66    12    11  6.9e-11 7.5e-11 8.3e-11 8.5e-11 8.4e-11 8.3e-11 8.6e-11 8.8e-11
   67    13     1  6.1e-13 5.1e-13 4.1e-13 3.9e-13 4.0e-13 4.2e-13 4.5e-13 5.3e-13
   68    13     2  4.3e-12 4.5e-12 4.4e-12 4.3e-12 4.2e-12 4.1e-12 3.9e-12 3.7e-12
   69    13     3  3.7e-12 3.5e-12 3.2e-12 3.1e-12 3.1e-12 3.2e-12 3.6e-12 4.4e-12
   70    13     4  7.4e-12 7.4e-12 7.0e-12 6.9e-12 6.8e-12 6.8e-12 6.1e-12 5.3e-12
   71    13     5  7.6e-12 7.7e-12 7.7e-12 8.1e-12 8.6e-12 9.1e-12 1.1e-11 1.6e-11
   72    13     6  9.3e-12 9.2e-12 8.7e-12 8.5e-12 8.6e-12 8.7e-12 8.0e-12 7.3e-12
   73    13     7  1.6e-11 1.7e-11 1.8e-11 1.9e-11 2.0e-11 2.1e-11 2.6e-11 3.4e-11
   74    13     8  1.4e-11 1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.6e-11 1.8e-11 2.1e-11
   75    13     9  4.8e-11 5.1e-11 5.1e-11 5.0e-11 5.0e-11 4.9e-11 5.5e-11 6.4e-11
   76    13    10  3.1e-11 3.3e-11 3.6e-11 3.8e-11 3.9e-11 3.9e-11 4.6e-11 5.8e-11
   77    13    11  1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.2e-10 1.2e-10 1.3e-10 1.5e-10
   78    13    12  6.6e-11 7.5e-11 8.5e-11 8.7e-11 8.6e-11 8.5e-11 8.8e-11 9.1e-11
   79    14     1  2.3e-13 2.1e-13 1.8e-13 1.7e-13 1.8e-13 1.8e-13 1.9e-13 2.1e-13
   80    14     2  1.1e-12 9.6e-13 7.8e-13 7.4e-13 7.6e-13 8.0e-13 8.5e-13 9.8e-13
   81    14     3  3.4e-12 3.4e-12 3.2e-12 3.0e-12 3.0e-12 2.8e-12 2.7e-12 2.7e-12
   82    14     4  3.1e-12 2.9e-12 2.6e-12 2.6e-12 2.7e-12 3.0e-12 3.4e-12 4.1e-12
   83    14     5  5.1e-12 4.8e-12 4.4e-12 4.1e-12 4.1e-12 3.9e-12 3.7e-12 3.6e-12
   84    14     6  6.0e-12 6.0e-12 6.0e-12 6.4e-12 6.9e-12 7.5e-12 9.4e-12 1.2e-11
   85    14     7  7.5e-12 6.9e-12 6.4e-12 5.9e-12 6.1e-12 6.0e-12 5.6e-12 5.3e-12
   86    14     8  1.3e-11 1.3e-11 1.4e-11 1.6e-11 1.7e-11 1.8e-11 2.2e-11 2.9e-11
   87    14     9  1.3e-11 1.3e-11 1.4e-11 1.4e-11 1.4e-11 1.4e-11 1.5e-11 1.6e-11
   88    14    10  4.6e-11 4.5e-11 4.6e-11 4.5e-11 4.5e-11 4.6e-11 5.4e-11 6.4e-11
   89    14    11  2.2e-11 2.5e-11 3.2e-11 3.3e-11 3.6e-11 3.6e-11 4.0e-11 4.6e-11
   90    14    12  1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.6e-10
   91    14    13  7.3e-11 7.1e-11 7.3e-11 7.4e-11 7.4e-11 7.4e-11 7.7e-11 8.2e-11
   92    15     1  1.6e-13 1.4e-13 1.2e-13 1.1e-13 1.2e-13 1.2e-13 1.3e-13 1.4e-13
   93    15     2  5.0e-13 4.5e-13 3.8e-13 3.7e-13 3.8e-13 4.0e-13 4.1e-13 4.5e-13
   94    15     3  1.4e-12 1.2e-12 9.7e-13 9.2e-13 9.5e-13 1.0e-12 1.1e-12 1.2e-12
   95    15     4  3.8e-12 3.8e-12 3.5e-12 3.3e-12 3.3e-12 3.2e-12 3.0e-12 3.0e-12
   96    15     5  3.3e-12 3.1e-12 2.8e-12 2.8e-12 2.9e-12 3.2e-12 3.6e-12 4.4e-12
   97    15     6  5.3e-12 5.0e-12 4.6e-12 4.3e-12 4.3e-12 4.1e-12 3.8e-12 3.7e-12
   98    15     7  6.1e-12 6.2e-12 6.2e-12 6.6e-12 7.2e-12 7.8e-12 9.7e-12 1.3e-11
   99    15     8  7.6e-12 7.0e-12 6.5e-12 6.0e-12 6.2e-12 6.1e-12 5.6e-12 5.4e-12
  100    15     9  1.3e-11 1.4e-11 1.5e-11 1.6e-11 1.7e-11 1.8e-11 2.3e-11 3.0e-11
  101    15    10  1.3e-11 1.3e-11 1.4e-11 1.4e-11 1.4e-11 1.4e-11 1.5e-11 1.6e-11
  102    15    11  4.7e-11 4.5e-11 4.6e-11 4.5e-11 4.6e-11 4.7e-11 5.4e-11 6.5e-11
  103    15    12  2.2e-11 2.5e-11 3.2e-11 3.4e-11 3.6e-11 3.6e-11 4.0e-11 4.7e-11
  104    15    13  1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.6e-10
  105    15    14  7.3e-11 7.1e-11 7.3e-11 7.4e-11 7.4e-11 7.5e-11 7.7e-11 8.2e-11
  106    16     1  1.1e-13 9.7e-14 8.0e-14 7.6e-14 7.9e-14 8.2e-14 8.4e-14 9.3e-14
  107    16     2  3.4e-13 3.1e-13 2.6e-13 2.4e-13 2.5e-13 2.6e-13 2.7e-13 3.0e-13
  108    16     3  6.4e-13 5.7e-13 4.8e-13 4.6e-13 4.8e-13 5.0e-13 5.2e-13 5.7e-13
  109    16     4  1.6e-12 1.3e-12 1.1e-12 1.0e-12 1.1e-12 1.1e-12 1.2e-12 1.4e-12
  110    16     5  4.1e-12 4.1e-12 3.8e-12 3.6e-12 3.6e-12 3.4e-12 3.2e-12 3.3e-12
  111    16     6  3.4e-12 3.3e-12 3.0e-12 3.0e-12 3.1e-12 3.3e-12 3.8e-12 4.6e-12
  112    16     7  5.4e-12 5.2e-12 4.7e-12 4.4e-12 4.4e-12 4.2e-12 3.9e-12 3.8e-12
  113    16     8  6.3e-12 6.4e-12 6.4e-12 6.8e-12 7.4e-12 8.0e-12 1.0e-11 1.3e-11
  114    16     9  7.7e-12 7.1e-12 6.6e-12 6.1e-12 6.3e-12 6.2e-12 5.7e-12 5.4e-12
  115    16    10  1.4e-11 1.4e-11 1.5e-11 1.6e-11 1.8e-11 1.9e-11 2.3e-11 3.0e-11
  116    16    11  1.3e-11 1.4e-11 1.4e-11 1.4e-11 1.4e-11 1.4e-11 1.5e-11 1.6e-11
  117    16    12  4.7e-11 4.6e-11 4.7e-11 4.5e-11 4.6e-11 4.7e-11 5.5e-11 6.6e-11
  118    16    13  2.2e-11 2.5e-11 3.2e-11 3.4e-11 3.6e-11 3.6e-11 4.0e-11 4.7e-11
  119    16    14  1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.6e-10
  120    16    15  7.2e-11 7.1e-11 7.3e-11 7.4e-11 7.5e-11 7.5e-11 7.8e-11 8.2e-11
  121    17     1  7.5e-14 6.6e-14 5.3e-14 5.0e-14 5.2e-14 5.5e-14 5.6e-14 6.2e-14
  122    17     2  2.4e-13 2.1e-13 1.7e-13 1.6e-13 1.7e-13 1.8e-13 1.8e-13 2.0e-13
  123    17     3  4.4e-13 3.9e-13 3.2e-13 3.1e-13 3.2e-13 3.3e-13 3.4e-13 3.8e-13
  124    17     4  7.2e-13 6.4e-13 5.4e-13 5.2e-13 5.4e-13 5.6e-13 5.8e-13 6.4e-13
  125    17     5  1.7e-12 1.4e-12 1.2e-12 1.1e-12 1.1e-12 1.2e-12 1.3e-12 1.5e-12
  126    17     6  4.4e-12 4.3e-12 4.0e-12 3.8e-12 3.8e-12 3.6e-12 3.4e-12 3.5e-12
  127    17     7  3.6e-12 3.4e-12 3.1e-12 3.1e-12 3.2e-12 3.5e-12 4.0e-12 4.8e-12
  128    17     8  5.6e-12 5.3e-12 4.9e-12 4.6e-12 4.5e-12 4.3e-12 4.0e-12 3.9e-12
  129    17     9  6.4e-12 6.5e-12 6.5e-12 7.0e-12 7.6e-12 8.2e-12 1.0e-11 1.4e-11
  130    17    10  7.8e-12 7.2e-12 6.7e-12 6.2e-12 6.4e-12 6.3e-12 5.8e-12 5.5e-12
  131    17    11  1.4e-11 1.4e-11 1.5e-11 1.7e-11 1.8e-11 1.9e-11 2.3e-11 3.1e-11
  132    17    12  1.3e-11 1.4e-11 1.4e-11 1.4e-11 1.4e-11 1.5e-11 1.5e-11 1.6e-11
  133    17    13  4.7e-11 4.6e-11 4.7e-11 4.6e-11 4.7e-11 4.7e-11 5.5e-11 6.6e-11
  134    17    14  2.2e-11 2.5e-11 3.2e-11 3.4e-11 3.6e-11 3.6e-11 4.1e-11 4.7e-11
  135    17    15  1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.6e-10
  136    17    16  7.2e-11 7.1e-11 7.3e-11 7.4e-11 7.5e-11 7.5e-11 7.8e-11 8.2e-11
  137    18     1  5.2e-14 4.5e-14 3.5e-14 3.3e-14 3.5e-14 3.7e-14 3.7e-14 4.1e-14
  138    18     2  1.6e-13 1.4e-13 1.1e-13 1.1e-13 1.1e-13 1.2e-13 1.2e-13 1.3e-13
  139    18     3  3.0e-13 2.7e-13 2.2e-13 2.1e-13 2.1e-13 2.2e-13 2.3e-13 2.5e-13
  140    18     4  5.0e-13 4.4e-13 3.6e-13 3.4e-13 3.6e-13 3.7e-13 3.8e-13 4.3e-13
  141    18     5  7.7e-13 6.9e-13 5.8e-13 5.5e-13 5.8e-13 6.0e-13 6.2e-13 6.9e-13
  142    18     6  1.8e-12 1.5e-12 1.2e-12 1.2e-12 1.2e-12 1.3e-12 1.3e-12 1.6e-12
  143    18     7  4.6e-12 4.5e-12 4.2e-12 4.0e-12 4.0e-12 3.8e-12 3.6e-12 3.6e-12
  144    18     8  3.6e-12 3.5e-12 3.2e-12 3.2e-12 3.3e-12 3.6e-12 4.1e-12 5.0e-12
  145    18     9  5.7e-12 5.4e-12 5.0e-12 4.7e-12 4.6e-12 4.4e-12 4.1e-12 4.0e-12
  146    18    10  6.5e-12 6.6e-12 6.6e-12 7.1e-12 7.7e-12 8.4e-12 1.0e-11 1.4e-11
  147    18    11  7.9e-12 7.3e-12 6.8e-12 6.3e-12 6.5e-12 6.4e-12 5.9e-12 5.6e-12
  148    18    12  1.4e-11 1.4e-11 1.5e-11 1.7e-11 1.8e-11 1.9e-11 2.4e-11 3.1e-11
  149    18    13  1.4e-11 1.4e-11 1.4e-11 1.4e-11 1.5e-11 1.5e-11 1.5e-11 1.7e-11
  150    18    14  4.7e-11 4.6e-11 4.7e-11 4.6e-11 4.7e-11 4.8e-11 5.5e-11 6.7e-11
  151    18    15  2.2e-11 2.6e-11 3.2e-11 3.4e-11 3.6e-11 3.6e-11 4.1e-11 4.7e-11
  152    18    16  1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.6e-10
  153    18    17  7.2e-11 7.1e-11 7.3e-11 7.4e-11 7.5e-11 7.5e-11 7.8e-11 8.2e-11
