NAME,MASS,BINDING ENERGY,DESORPTION PREFACTOR,DIFFUSION BARRIER,DIFFUSION PREFACTOR,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY,Ix,Iy,Iz,SYMMETRYFACTOR
#N2,28,1100,0,0,0,0.35,0.7,0.667,0,0,8.77,8.77,2
CO,28,0,0,0,0,0,0,0,0,0,0,0,0
CO+,28,0,0,0,0,0,0,0,0,0,0,0,0
H2CN,28,0,0,0,0,0,0,0,0,0,0,0,0
HCNH+,28,0,0,0,0,0,0,0,0,0,0,0,0
N2,28,0,0,0,0,0,0,0,0,0,0,0,0
N2+,28,0,0,0,0,0,0,0,0,0,0,0,0
SI,28,0,0,0,0,0,0,0,0,0,0,0,0
SI+,28,0,0,0,0,0,0,0,0,0,0,0,0
#H2CN,28,2400,0,0,0,0,0,0,57.9,1.81,13.49,15.30,2 ! Formation from KIDA
#C2H4,28,2500,0,0,0,0,0,0.5,14.6,3.44,16.86,20.30,4
C2H4,28,0,0,0,0,0,0,0,0,0,0,0,0
#SI,28,11600,0,0,0,0,0,0,106.5,0,0,0,0
#SIH,29,11950,0,0,0,0,0,0,87.7,0,2.38,2.38,1
HCO,29,0,0,0,0,0,0,0,0,0,0,0,0
HCO+,29,0,0,0,0,0,0,0,0,0,0,0,0
#HCO,29,2400,0,0,0,0,0.1,0.5,9.9,0.75,11.60,12.35,1
HOC+,29,0,0,0,0,0,0,0,0,0,0,0,0
N2H+,29,0,0,0,0,0,0,0,0,0,0,0,0
SIH,29,0,0,0,0,0,0,0,0,0,0,0,0
SIH+,29,0,0,0,0,0,0,0,0,0,0,0,0
C2H5,29,0,0,0,0,0,0,0,0,0,0,0,0
#C2H5,29,3100,0,0,0,0,0,0,31.5,4.87,22.29,24.03,1
#NO,30,1600,0,0,0,0,0.7,0.667,21.63,0,11.12,11.12,1 ! CCSD(T) with SDD basis set
#H2CO,30,4500,0,0,0,0,0,0,-25.1,1.80,13.45,15.25,2
H2CO,30,0,0,0,0,0,0,0,0,0,0,0,0
H2CO+,30,0,0,0,0,0,0,0,0,0,0,0,0
NO,30,0,0,0,0,0,0,0,0,0,0,0,0
NO+,30,0,0,0,0,0,0,0,0,0,0,0,0
SIH2,30,0,0,0,0,0,0,0,0,0,0,0,0
SIH2+,30,0,0,0,0,0,0,0,0,0,0,0,0
#SIH2,30,12300,0,0,0,0,0,0,65.7,2.08,2.43,4.50,2 ! CCSD(T) with cc-pV(T+d)Z basis set
#SIH3,31,12650,0,0,0,0,0,0,49.2,3.58,3.58,6.04,3
HNO,31,0,0,0,0,0,0,0,0,0,0,0,0
HNO+,31,0,0,0,0,0,0,0,0,0,0,0,0
SIH3,31,0,0,0,0,0,0,0,0,0,0,0,0
SIH3+,31,0,0,0,0,0,0,0,0,0,0,0,0
#HNO,31,3000,0,0,0,0,0,0,26.3,0.96,12.15,13.11,1
CH2OH,31,0,0,0,0,0,0,0,0,0,0,0,0
#CH2OH,31,5084,0,0,0,0,0,0,-2.6,2.73,17.12,19.57,1
#O2,32,1200,0,0,0,0.35,0.7,0.667,0,0,13.47,13.47,2 ! CCSD(T) with SDD basis set
#CH3OH,32,5000,0,0,0,0,0,0,-45.4,4.05,20.60,21.38,1
#SIH4,32,13000,0,0,0,0,0,0,10.5,5.97,5.97,5.97,12
CH3OH,32,0,0,0,0,0,0,0,0,0,0,0,0
H2NO+,32,0,0,0,0,0,0,0,0,0,0,0,0
O2,32,0,0,0,0,0,0,0,0,0,0,0,0
O2+,32,0,0,0,0,0,0,0,0,0,0,0,0
S,32,0,0,0,0,0,0,0,0,0,0,0,0
#S,32,2600,0,0,0,0,0,0,65.7,0,0,0,0
S+,32,0,0,0,0,0,0,0,0,0,0,0,0
SIH4,32,0,0,0,0,0,0,0,0,0,0,0,0
SIH4+,32,0,0,0,0,0,0,0,0,0,0,0,0
CH3OH2+,33,0,0,0,0,0,0,0,0,0,0,0,0
HS,33,0,0,0,0,0,0,0,0,0,0,0,0
HS+,33,0,0,0,0,0,0,0,0,0,0,0,0
O2H,33,0,0,0,0,0,0,0,0,0,0,0,0
O2H+,33,0,0,0,0,0,0,0,0,0,0,0,0
#O2H,33,5000,0,0,0,0,0,0,3.63,0.82,15.02,15.84,1
SIH5+,33,0,0,0,0,0,0,0,0,0,0,0,0
#HS,33,1450,0,0,0,0,0,0,33.5,0,1.85,1.85,1
H2S,34,0,0,0,0,0,0,0,0,0,0,0,0
#H2S,34,2700,0,0,0,0,0.1,0.5,-4.2,1.74,1.88,3.58,2
H2S+,34,0,0,0,0,0,0,0,0,0,0,0,0
CL,35,0,0,0,0,0,0,0,0,0,0,0,0
CL+,35,0,0,0,0,0,0,0,0,0,0,0,0
#CL,35,5172,0,0,0,0,0,0,28.6,0,0,0,0
H3S+,35,0,0,0,0,0,0,0,0,0,0,0,0
#HCL,36,5172,0,0,0,0,0,0,-22.0,0,1.75,1.75,1 ! CCSD(T) with SDD basis set
C3+,36,0,0,0,0,0,0,0,0,0,0,0,0
HCL,36,0,0,0,0,0,0,0,0,0,0,0,0
HCL+,36,0,0,0,0,0,0,0,0,0,0,0,0
H2CL+,37,0,0,0,0,0,0,0,0,0,0,0,0
C2N,38,0,0,0,0,0,0,0,0,0,0,0,0
#C2N,38,2400,0,0,0,0,0,0,674,0,42.33,42.33,1 ! FROM B IN CDMS, Formation not in CCCBDB or KIDA
C2N+,38,0,0,0,0,0,0,0,0,0,0,0,0
C3H2,38,0,0,0,0,0,0,0,0,0,0,0,0
#C3H2,38,5900,0,0,0,0,0,0,129.8,1.75,47.73,49.53,2 ! FROM A,B,C IN CDMS (i-C3H2), Formation from KIDA (c-C3H2)
C2NH+,39,0,0,0,0,0,0,0,0,0,0,0,0
#CH3CCH,40,3000,0,0,0,0,0,0.5,45.8,3.15,59.29,59.29,3
CH3CCH,40,0,0,0,0,0,0,0,0,0,0,0,0
SIC,40,0,0,0,0,0,0,0,0,0,0,0,0
SIC+,40,0,0,0,0,0,0,0,0,0,0,0,0
#SIC,40,3500,0,0,0,0,0,0,174.5,0,25.8,25.8,1 ! Formation from KIDA
#CH3CN,41,4680,0,0,0,0,0,0.5,17.0,3.26,56.50,56.50,3
C3H5+,41,0,0,0,0,0,0,0,0,0,0,0,0
CH3CN,41,0,0,0,0,0,0,0,0,0,0,0,0
#CH2CO,42,2800,0,0,0,0,0,0,-10.6,1.79,49.48,51.27,2
#CH3CNH,42,3740,0,0,0,0,0.1,0.5,55.7,6.32,52.63,55.91,1 ! GEOM OPT BHLYP cc-pVTZ, ATcT
CH2CO,42,0,0,0,0,0,0,0,0,0,0,0,0
CH3CNH,42,0,0,0,0,0,0,0,0,0,0,0,0
CH3CNH+,42,0,0,0,0,0,0,0,0,0,0,0,0
OCN,42,0,0,0,0,0,0,0,0,0,0,0,0
#OCN,42,2400,0,0,0,0,0,0,30.5,0,44.36,44.36,1 ! Formation from KIDA
#HNCO,43,4400,0,0,0,0,0,0,-23.6,0.61,46.34,46.95,1 ! CCSD(T) with 6-31G* basis set
HNCO,43,0,0,0,0,0,0,0,0,0,0,0,0
#SIO,44,3500,0,0,0,0.35,0.7,0.667,-24.3,0,23.55,23.55,1 ! CCSD(T) with Def2TZVPP basis set
CS,44,0,0,0,0,0,0,0,0,0,0,0,0
#CO2,44,2600,0,0,0,0,0.24,0.92,-93.95,0,44.14,44.14,2
CO2,44,0,0,0,0,0,0,0,0,0,0,0,0
#CS,44,3200,0,0,0,0,0.7,0.667,65.3,0,21.43,21.43,1
CS+,44,0,0,0,0,0,0,0,0,0,0,0,0
SIO,44,0,0,0,0,0,0,0,0,0,0,0,0
SIO+,44,0,0,0,0,0,0,0,0,0,0,0,0
CH3CHO,44,0,0,0,0,0,0,0,0,0,0,0,0
#CH3CHO,44,5400,0,0,0,0,0,0,-38.2,9.07,50.61,56.90,1
HCO2+,45,0,0,0,0,0,0,0,0,0,0,0,0
HCS,45,0,0,0,0,0,0,0,0,0,0,0,0
HCS+,45,0,0,0,0,0,0,0,0,0,0,0,0
#HCS,45,2900,0,0,0,0,0,0,67.4,0.55,25.03,25.38,1 ! wB97X-D with cc-pVTZ basis set, Formation from KIDA
SIOH+,45,0,0,0,0,0,0,0,0,0,0,0,0
#HSIO,45,3600,0,0,0,0,0,0,-12.67,1.62,25.42,27.16,1 ! FROM A,B,C IN CDMS, FORMATION FROM CCSD(T) cc-pVTZ
HSIO,45,0,0,0,0,0,0,0,0,0,0,0,0
NH2CHO,45,0,0,0,0,0,0,0,0,0,0,0,0
#NH2CHO,45,6300,0,0,0,0,0,0,-42.6,6.89,44.64,51.47,1 ! Formation from KIDA
HCOO,45,0,0,0,0,0,0,0,0,0,0,0,0
#HCOO,45,4000,0,0,0,0,0,0,81.7,5.92,38.23,44.15,1 ! ATcT
HSC,45,0,0,0,0,0,0,0,0,0,0,0,0
#HSC,45,2400,0,0,0,0,0,0,107.7,1.71,22.93,25.83,1 ! FROM A,B,C IN CDMS, Formation 40 kcal/mol above HCS (CDMS)
HCSH,46,0,0,0,0,0,0,0,0,0,0,0,0
#HCSH,46,3900,0,0,0,0,0,0,72.60,2.56,26.57,29.14,1 ! G2(MP2, SVP)
H2CS,46,0,0,0,0,0,0,0,0,0,0,0,0
#NO2,46,2400,0,0,0,0,0,0,8.8,2.16,39.52,41.68,2
#H2CS,46,4400,0,0,0,0,0,0,28.3,1.76,29.65,31.41,2
#H2SIO,46,4400,0,0,0,0,0,0.5,-44.78,3.03,27.06,30.18,2 ! FROM A,B,C in CDMS, FORMATION FROM CCSD(T) cc-pVTZ
NS,46,0,0,0,0,0,0,0,0,0,0,0,0
H2CS+,46,0,0,0,0,0,0,0,0,0,0,0,0
H2SIO,46,0,0,0,0,0,0,0,0,0,0,0,0
NO2,46,0,0,0,0,0,0,0,0,0,0,0,0
#NS,46,1900,0,0,0,0,0.1,0.5,63.8,0,23.08,23.08,1
NS+,46,0,0,0,0,0,0,0,0,0,0,0,0
HCOOH,46,0,0,0,0,0,0,0,0,0,0,0,0
#HCOOH,46,5570,0,0,0,0,0,0,-88.8,6.59,42.69,49.27,1
HNS,47,0,0,0,0,0,0,0,0,0,0,0,0
#HNS,47,1823,0,0,0,0,0,0,49.9,0.87,26.69,27.57,1 ! Calculated from CCSD(T)-6-31G* energies in CCCBDB
NSH,47,0,0,0,0,0,0,0,0,0,0,0,0
#NSH,47,1693,0,0,0,0,0,0,74.47,1.64,22.56,29.70,1 ! G2(MP2, SVP)
H3CS+,47,0,0,0,0,0,0,0,0,0,0,0,0
HNS+,47,0,0,0,0,0,0,0,0,0,0,0,0
CH3S,47,0,0,0,0,0,0,0,0,0,0,0,0
#CH3S,47,4200,0,0,0,0,0,0,31.0,3.13,38.72,38.72,3 ! CCSD with 6-31G* basis set
CH2SH,47,0,0,0,0,0,0,0,0,0,0,0,0
#CH2SH,47,3700,0,0,0,0,0,0,35.85,3.41,32.26,35.67,1 ! GEOM OPT BHLYP cc-pVTZ, Formation from KIDA
HNSH,48,0,0,0,0,0,0,0,0,0,0,0,0
#HNSH,48,1727,0,0,0,0,0,0,48.9,2.51,28.63,31.14,1 ! G2(MP2, SVP)
NSH2,48,0,0,0,0,0,0,0,0,0,0,0,0
#NSH2,48,1818,0,0,0,0,0,0,113.13,3.00,26.59,27.45,1 ! G2(MP2, SVP)
H2NS,48,0,0,0,0,0,0,0,0,0,0,0,0
#H2NS,48,1741,0,0,0,0,0,0,35.1,1.45,31.01,32.46,1 ! G2(MP2, SVP)
CH3SH,48,0,0,0,0,0,0,0,0,0,0,0,0
#CH3SH,48,3603,0,0,0,0,0,0,-2.8,5.04,40.20,41.94,1
SO,48,0,0,0,0,0,0,0,0,0,0,0,0
#SO,48,2800,0,0,0,0,0,0,1.2,0,25.11,25.11,1
SO+,48,0,0,0,0,0,0,0,0,0,0,0,0
CH2SH2,48,0,0,0,0,0,0,0,0,0,0,0,0
#CH2SH2,48,3100,0,0,0,0,0,0,59.62,4.82,33.03,34.05,1 ! G2(MP2, SVP)
HNSH2,49,0,0,0,0,0,0,0,0,0,0,0,0
#HNSH2,49,1798,0,0,0,0,0,0,56.2,3.96,29.82,30.11,1 ! G2(MP2, SVP)
H2NSH,49,0,0,0,0,0,0,0,0,0,0,0,0
#H2NSH,49,1662,0,0,0,0,0,0,-2.87,3.58,37.22,38.11,1 ! FORMATION FROM CCSD(T) cc-pVTZ
H3NS,49,0,0,0,0,0,0,0,0,0,0,0,0
#H3NS,49,1538,0,0,0,0,0,0,21.1,2.74,42.12,42.12,3 ! Calculated from CCSD(T)-6-31G* energies in CCCBDB
C4H,49,0,0,0,0,0,0,0,0,0,0,0,0
HSO+,49,0,0,0,0,0,0,0,0,0,0,0,0
HSO,49,0,0,0,0,0,0,0,0,0,0,0,0
#HSO,49,3200,0,0,0,0,0,0,-4.18,1.66,24.7,26.3,1 ! G2(MP2, SVP)
HOS,49,0,0,0,0,0,0,0,0,0,0,0,0
#HOS,49,3200,0,0,0,0,0,0,-0.55,0.83,32.17,33.00,1 ! ATcT
#C4H,49,3737,0,0,0,0,0,0,185.2,0,106.2,106.2,1 ! FROM B IN CDMS, Formation from KIDA
HOSH,50,0,0,0,0,0,0,0,0,0,0,0,0
#HOSH,50,2600,0,0,0,0,0,0,-25.9,2.51,33.50,34.43,1 ! ACtC
C3N,50,0,0,0,0,0,0,0,0,0,0,0,0
#C3N,50,3200,0,0,0,0,0,0,78.98,0,100.0,100.0,1 ! FROM B IN CDMS, FORMATION FROM CCSD(T) cc-pVTZ
#HC3N,51,4580,0,0,0,0,0,0.5,87.8,0,111.71,111.71,1 ! CCSD(T) with 6-31G* basis set, Formation from KIDA
HC3N,51,0,0,0,0,0,0,0,0,0,0,0,0
C2N2+,52,0,0,0,0,0,0,0,0,0,0,0,0
NCCN,52,0,0,0,0,0,0,0,0,0,0,0,0
SIC2,52,0,0,0,0,0,0,0,0,0,0,0,0
SIC2+,52,0,0,0,0,0,0,0,0,0,0,0,0
#NCCN,52,3000,0,0,0,0,0,0,73.4,0,111.07,111.07,2
#SIC2,52,4300,0,0,0,0,0,0,149.4,10.15,39.97,50.12,2 ! Formation from KIDA
#SIS,60,3800,0,0,0,0,0.7,0.667,25.0,0,58.01,58.01,1
OCS,60,0,0,0,0,0,0,0,0,0,0,0,0
#OCS,60,2400,0,0,0,0,0,0.5,-33.9,0,84.74,84.74,1
OCS+,60,0,0,0,0,0,0,0,0,0,0,0,0
SIS,60,0,0,0,0,0,0,0,0,0,0,0,0
SIS+,60,0,0,0,0,0,0,0,0,0,0,0,0
HOCS+,61,0,0,0,0,0,0,0,0,0,0,0,0
HSIS+,61,0,0,0,0,0,0,0,0,0,0,0,0
OCSH,61,0,0,0,0,0,0,0,0,0,0,0,0
#OCSH,61,3441,0,0,0,0,0,0,5.77,4.88,83.12,87.99,1 ! G2(MP2, SVP)
OCHS,61,0,0,0,0,0,0,0,0,0,0,0,0
#OCHS,61,4272,0,0,0,0,0,0,6.47,6.23,79.83,86.06,1 ! G2(MP2, SVP)
HOCS,61,0,0,0,0,0,0,0,0,0,0,0,0
#HOCS,61,3400,0,0,0,0,0,0,18.8,3.73,82.10,85.83,1 ! G2(MP2, SVP)
C4N,62,0,0,0,0,0,0,0,0,0,0,0,0
C4N+,62,0,0,0,0,0,0,0,0,0,0,0,0
#C4N,62,4000,0,0,0,0,0,0,189,0,208.46,208.46,1 ! FROM B IN CDMS, FORMATION FROM CCSD(T) cc-pVTZ
HCOSH,62,0,0,0,0,0,0,0,0,0,0,0,0
#HCOSH,62,5736,0,0,0,0,0,0,-4.55,8.15,82.51,90.74,1 ! TRANS ISOMER (MORE STABLE), FORMATION FROM CCSD(T) cc-pVTZ
#SIC3,64,5100,0,0,0,0,0,0,106.55,13.32,80.41,93.78,2 ! p-c-SiC3 (MORE STABLE), FORMATION FROM CCSD(T) cc-pVTZ
SIC3+,64,0,0,0,0,0,0,0,0,0,0,0,0
SIC3,64,0,0,0,0,0,0,0,0,0,0,0,0
#SO2,64,3400,0,0,0,0,0,0.5,-70.3,9.33,52.06,61.38,2
S2,64,0,0,0,0,0,0,0,0,0,0,0,0
#S2,64,2200,0,0,0,0,0,0,30.7,0,60.09,60.09,2
S2+,64,0,0,0,0,0,0,0,0,0,0,0,0
SO2+,64,0,0,0,0,0,0,0,0,0,0,0,0
SO2,64,0,0,0,0,0,0,0,0,0,0,0,0
HS2,65,0,0,0,0,0,0,0,0,0,0,0,0
HS2+,65,0,0,0,0,0,0,0,0,0,0,0,0
#HS2,65,5200,0,0,0,0,0,0,27.5,1.66,62.93,65.60,1 ! G2(MP2, SVP)
HSO2+,65,0,0,0,0,0,0,0,0,0,0,0,0
HSO2,65,0,0,0,0,0,0,0,0,0,0,0,0
#HSO2,65,3800,0,0,0,0,0,0,-30.81,10.19,52.42,60.53,1 ! G2(MP2, SVP)
HOSO,65,0,0,0,0,0,0,0,0,0,0,0,0
#HOSO,65,3800,0,0,0,0,0,0,-52.93,13.90,52.61,66.51,1 ! G2(MP2, SVP)
H2S2+,66,0,0,0,0,0,0,0,0,0,0,0,0
H2S2,66,0,0,0,0,0,0,0,0,0,0,0,0
#H2S2,66,5400,0,0,0,0,0,0,5.1,3.56,76.09,76.12,2
CS2,76,0,0,0,0,0,0,0,0,0,0,0,0
#CS2,76,2832,0,0,0,0,0,0,27.7,0,156.65,156.65,2
! NEW ADDED SPECIES: (data from KIDA 2024, added in Dijkhuis2025)
CH3OCH3,46,0,0,0,0,0,0,0,0,0,0,0,0
#CH3OCH3,46,3150,0,0,0,0,0,0,-39.8,19.19,50.35,57.08,2 ! CCSD(T) with 6-31G* basis set
CNO,42,0,0,0,0,0,0,0,93,0,0,0,0
#CNO,42,2400,0,0,0,0,0,0,93.0,0,44.36,44.36,1 ! Formation from KIDA
HCOOCH3,60,0,0,0,0,0,0,0,-82,0,0,0,0
#HCOOCH3,60,6295,0,0,0,0,0,0,-82.3,25.17,73.76,95.73,1 ! Formation from KIDA
CH3CHCH2,42,0,0,0,0,0,0,0,8,0,0,0,0
#CH3CHCH2,42,3100,0,0,0,0,0,0,8.3,10.89,54.34,62.12,1
HOCN,43,0,0,0,0,0,0,0,-12.76,0,0,0,0
#HOCN,43,2800,0,0,0,0,0,0,-3.0,0.8,48.54,49.34,1 ! CCD with cc-pVTZ basis set, Formation from KIDA
HCNO,43,0,0,0,0,0,0,0,171.042,0,0,0,0
#HCNO,43,2800,0,0,0,0,0,0,40.9,0.29,44.70,44.98,1 ! Formation from KIDA
HONC,43,0,0,0,0,0,0,0,234.68,0,0,0,0
#HONC,43,2800,0,0,0,0,0,0,56.1,0.78,44.27,45.05,1 ! GEOM OPT BHLYP cc-pVTZ, Formation from KIDA
CH3O,31,0,0,0,0,0,0,0,3415.8,0,0,0,0
#CH3O,31,4400,0,0,0,0,0,0,6.8,3.15,18.60,18.60,1 ! CCSD with 6-31G* basis set
H2O2,34,0,0,0,0,0,0,0,-15622.275,0,0,0,0
#H2O2,34,6000,0,0,0,0,0,0,-31.0,1.73,19.45,20.21,2
HOCO,45,0,0,0,0,0,0,0,-21816.341,0,0,0,0
#HOCO,45,2000,0,0,0,0,0,0,-43.4,3.07,44.33,47.40,1 ! Formation from KIDA
CH3NH2,31,0,0,0,0,0,0,0,-701.192,0,0,0,0
#CH3NH2,31,6584,0,0,0,0,0,0,-1.9,5.06,22.53,23.30,1
CH2NH2,30,0,0,0,0,0,0,0,19214.232,0,0,0,0
#CH2NH2,30,5534,0,0,0,0,0,0,38.2,3.34,18.08,20.86 ! GEOM OPT BHLYP cc-pVTZ, Formation from KIDA
