Species_Name,Species_formula,Phase,Image,DfH_0K,DfH_298K,Uncertainty,Units,Relative_Molecular_Mass,ATcT_ID
Hydrogen fluoride,HF,g,,-272.674,-272.721,0.018,kJ/mol,20.006343 ±0.000070,7664-39-3*0
Ethyl,CH3CH2,g,,131.51,120.75,0.2,kJ/mol,29.0611 ±0.0016,2025-56-1*0
Hydrogen cyanide,HCN,g,,129.688,129.303,0.087,kJ/mol,27.02538 ±0.00081,74-90-8*0
Hydrogen bromide,HBr,g,,-27.51,-35.36,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*0
Nitric oxide,NO,g,,90.647,91.151,0.066,kJ/mol,30.00614 ±0.00031,10102-43-9*0
Methylamine,CH3NH2,g,,-6.44,-21.15,0.22,kJ/mol,31.05714 ±0.00088,74-89-5*0
Acetaldehyde,CH3CHO,g,,-154.87,-165.4,0.22,kJ/mol,44.0526 ±0.0017,75-07-0*0
Propyne,CH3CCH,g,,192.72,185.56,0.2,kJ/mol,40.0639 ±0.0024,74-99-7*0
Hydroxyde,[OH]-,g,,-139.065,-139.032,0.022,kJ/mol,17.00789 ±0.00031,14280-30-9*0
Chloromethane,CH3Cl,g,,-74.65,-82.58,0.17,kJ/mol,50.4872 ±0.0012,74-87-3*0
Dioxidanyl,HOO,g,,15.07,12.16,0.14,kJ/mol,33.00674 ±0.00060,3170-83-0*0
Acetone,CH3C(O)CH3,g,,-199.93,-216.87,0.26,kJ/mol,58.0791 ±0.0025,67-64-1*0
Silicon,Si,g,,450.33,454.66,0.56,kJ/mol,28.08550 ±0.00030,7440-21-3*0
Hydrogen iodide,HI,g,,28.646,26.471,0.036,kJ/mol,127.912410 ±0.000076,10034-85-2*0
Allene,CH2CCH2,g,,197.48,190.02,0.22,kJ/mol,40.0639 ±0.0024,463-49-0*0
Nitrogen dioxide,ONO,g,,36.886,34.079,0.066,kJ/mol,46.00554 ±0.00060,10102-44-0*0
Vinyl,CH2CH,g,,301.24,297.2,0.27,kJ/mol,27.0452 ±0.0016,2669-89-8*0
Methylene,CH2,"g, triplet",,391.069,391.615,0.093,kJ/mol,14.02658 ±0.00081,2465-56-7*1
Hydrogen peroxide,HOOH,g,,-129.421,-135.407,0.058,kJ/mol,34.01468 ±0.00062,7722-84-1*0
Fluoromethane,CH3F,g,,-227.44,-235.47,0.24,kJ/mol,34.03292 ±0.00083,593-53-3*0
n-Butane,CH3CH2CH2CH3,g,,-98.23,-125.55,0.18,kJ/mol,58.1222 ±0.0033,106-97-8*0
Toluene,C6H5CH3,g,,73.36,50.07,0.31,kJ/mol,92.1384 ±0.0056,108-88-3*0
Silane,SiH4,g,,42.64,33.02,0.63,kJ/mol,32.11726 ±0.00041,7803-62-5*0
Methylene,CH2,"g, singlet",,428.73,429.14,0.11,kJ/mol,14.02658 ±0.00081,2465-56-7*2
Ozone,OOO,g,,144.407,141.744,0.039,kJ/mol,47.99820 ±0.00090,10028-15-6*0
"1,3-Butadiene",CH2CHCHCH2,g,,125.63,111.15,0.29,kJ/mol,54.0904 ±0.0032,106-99-0*0
Acetic acid,CH3C(O)OH,"g, syn",,-418.43,-432.6,0.32,kJ/mol,60.0520 ±0.0017,64-19-7*1
Fluoride,F-,g,,-250.907,-249.122,0.016,kJ/mol,18.99895178 ±0.00000050,16984-48-8*0
Ammonium hydroxide,NH4OH,"aq, 1000 H2O",,,-366.38,0.41,kJ/mol,35.04584 ±0.00047,1336-21-6*839
Ketene,CH2CO,g,,-45.34,-48.4,0.11,kJ/mol,42.0367 ±0.0016,463-51-4*0
Sulfur dioxide,OSO,g,,-294.21,-296.75,0.13,kJ/mol,64.0648 ±0.0060,7446-09-5*0
Nitrilomethyl,CN,g,,436.74,440.03,0.14,kJ/mol,26.01744 ±0.00080,2074-87-5*0
Bromomethane,CH3Br,g,,-20.45,-35.85,0.19,kJ/mol,94.9385 ±0.0013,74-83-9*0
Methoxy,CH3O,g,,28.98,21.6,0.26,kJ/mol,31.03392 ±0.00088,2143-68-2*0
Formic acid,HC(O)OH,"g, syn",,-370.98,-378.3,0.2,kJ/mol,46.0254 ±0.0010,64-18-6*1
Ethylamine,CH3CH2NH2,g,,-28.01,-49.78,0.42,kJ/mol,45.0837 ±0.0017,75-04-7*0
Phenyl,C6H5,g,,352.63,339.27,0.6,kJ/mol,77.1039 ±0.0048,2396-01-2*0
Hydrogen chloride,HCl,"aq, 100 H2O",,,-165.755,0.023,kJ/mol,36.46064 ±0.00090,7647-01-0*828
Acetonitrile,CH3CN,g,,81.15,74.08,0.23,kJ/mol,41.0520 ±0.0016,75-05-8*0
Hydroxymethyl,CH2OH,g,,-10.11,-16.41,0.28,kJ/mol,31.03392 ±0.00088,2597-43-5*0
Hydrogen iodide,HI,"aq, 5000 H2O",,,-56.64,0.09,kJ/mol,127.912410 ±0.000076,10034-85-2*844
Hydrogen fluoride,HF,l,,,-303.204,0.099,kJ/mol,20.006343 ±0.000070,7664-39-3*590
Methoxide,[CH3O]-,g,,-122.41,-130.14,0.26,kJ/mol,31.03447 ±0.00088,3315-60-4*0
Propargyl,CH2CCH,g,,354.09,351.5,0.31,kJ/mol,39.0559 ±0.0024,2932-78-7*0
iso-Butane,CH(CH3)3,g,,-105.88,-134.48,0.27,kJ/mol,58.1222 ±0.0033,75-28-5*0
Acetic acid,CH3C(O)OH,"aq, 100 H2O",,,-484.65,0.33,kJ/mol,60.0520 ±0.0017,64-19-7*828
Hypochlorous acid,HOCl,g,,-73.842,-76.781,0.023,kJ/mol,52.46004 ±0.00095,7790-92-3*0
Hydrogen bromide,HBr,"aq, 3000 H2O",,,-120.25,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*842
Ethynyl,CCH,g,,563.75,567.86,0.15,kJ/mol,25.0293 ±0.0016,2122-48-7*0
Formic acid,HC(O)OH,"aq, 100 H2O",,,-425.27,0.6,kJ/mol,46.0254 ±0.0010,64-18-6*828
Amidogen,NH2,g,,188.93,186.04,0.11,kJ/mol,16.02262 ±0.00016,13770-40-6*0
Tetrafluoromethane,CF4,g,,-927.63,-933.6,0.23,kJ/mol,88.00431 ±0.00080,75-73-0*0
Formyl,HCO,g,,41.387,41.762,0.094,kJ/mol,29.01804 ±0.00086,2597-44-6*0
Formamide,CH(O)NH2,g,,-178.64,-189.0,0.34,kJ/mol,45.04066 ±0.00088,75-12-7*0
n-Propyl,CH3CH2CH2,g,,118.46,101.05,0.39,kJ/mol,43.0877 ±0.0024,2143-61-5*0
Cyclopropane,CH2(CH2CH2),g,,71.06,53.93,0.32,kJ/mol,42.0797 ±0.0024,75-19-4*0
Cyclopentadiene,CH2(CHCHCHCH),g,,151.89,134.76,0.49,kJ/mol,66.1011 ±0.0040,542-92-7*0
Dibromine,Br2,g,,45.7,30.9,0.11,kJ/mol,159.8080 ±0.0020,7726-95-6*0
Diiodine,I2,g,,65.497,62.417,0.0041,kJ/mol,253.808940 ±0.000060,7553-56-2*0
iso-Propyl,CH3CHCH3,g,,105.67,88.8,0.38,kJ/mol,43.0877 ±0.0024,2025-55-0*0
Ethenol,CH2CHOH,"g, syn",,-113.28,-124.41,0.37,kJ/mol,44.0526 ±0.0017,557-75-5*1
Allyl,CH2CHCH2,g,,179.91,168.19,0.33,kJ/mol,41.0718 ±0.0024,1981-80-2*0
Acetyl,CH3CO,g,,-3.61,-10.18,0.29,kJ/mol,43.0446 ±0.0016,3170-69-2*0
Chloroethane,CH3CH2Cl,g,,-96.95,-111.54,0.25,kJ/mol,64.5138 ±0.0019,75-00-3*0
Chloride,Cl-,g,,-228.953,-227.346,0.0021,kJ/mol,35.45325 ±0.00090,16887-00-6*0
Methoxymethane,CH3OCH3,g,,-166.39,-183.9,0.35,kJ/mol,46.0684 ±0.0017,115-10-6*0
Dioxymethyl,CH2OO,g,,112.1,105.1,0.33,kJ/mol,46.0254 ±0.0010,56077-92-0*0
Methanimine,CH2NH,g,,96.41,88.5,0.34,kJ/mol,29.04126 ±0.00083,2053-29-4*0
Ethylium,[CH3CH2]+,g,,915.17,903.1,0.29,kJ/mol,29.0606 ±0.0016,14936-94-8*0
Fluoroform,CHF3,g,,-689.28,-696.23,0.4,kJ/mol,70.01385 ±0.00080,75-46-7*0
Oxomethylium,[HCO]+,g,,827.763,827.179,0.094,kJ/mol,29.01749 ±0.00086,17030-74-9*0
Trifluoromethyl,CF3,g,,-465.14,-467.94,0.42,kJ/mol,69.00591 ±0.00080,2264-21-3*0
Methylidyne,CH,g,,592.969,596.304,0.081,kJ/mol,13.01864 ±0.00080,3315-37-5*0
Methyl hydroperoxide,CH3OOH,g,,-114.83,-127.65,0.42,kJ/mol,48.0413 ±0.0010,3031-73-0*0
Phenol,C6H5OH,g,,-74.34,-92.94,0.62,kJ/mol,94.1112 ±0.0048,108-95-2*0
Tetrachloromethane,CCl4,g,,-89.29,-91.46,0.41,kJ/mol,153.8215 ±0.0037,56-23-5*0
Benzaldehyde,C6H5C(O)H,g,,-19.17,-36.96,0.68,kJ/mol,106.1219 ±0.0056,100-52-7*0
Bromide,Br-,g,,-206.612,-212.674,0.055,kJ/mol,79.90455 ±0.00100,24959-67-9*0
Hypobromous acid,HOBr,g,,-51.27,-61.75,0.48,kJ/mol,96.9113 ±0.0010,13517-11-8*0
Iodomethane,CH3I,g,,24.52,14.99,0.16,kJ/mol,141.93899 ±0.00083,74-88-4*0
Methylperoxy,CH3OO,g,,22.55,13.1,0.34,kJ/mol,47.0333 ±0.0010,2143-58-0*0
Oxonium,[H3O]+,g,,605.89,599.14,0.17,kJ/mol,19.02267 ±0.00037,13968-08-6*0
Cyanoacetylene,HCCCN,g,,372.25,373.99,0.57,kJ/mol,51.0468 ±0.0024,1070-71-9*0
Hydrogen sulfide,H2S,g,,-17.37,-20.3,0.18,kJ/mol,34.0819 ±0.0060,7783-06-4*0
Chlorooxidanyl,ClO,g,,101.124,101.716,0.035,kJ/mol,51.45210 ±0.00095,14989-30-1*0
Iodide,I-,g,,-187.996,-188.396,0.0021,kJ/mol,126.905019 ±0.000030,20461-54-5*0
Nitric acid,HON(O)O,g,,-124.41,-134.12,0.17,kJ/mol,63.01288 ±0.00091,7697-37-2*0
Hydroxyformyl,HOCO,"g, trans",,-181.14,-184.11,0.4,kJ/mol,45.0174 ±0.0010,2564-86-5*1
Vinyl chloride,CH2CHCl,g,,29.4,21.81,0.27,kJ/mol,62.4979 ±0.0018,75-01-4*0
Glycine,NH2CH2C(O)OH,"g, syn-anti-anti",,-377.66,-396.14,0.55,kJ/mol,75.0666 ±0.0017,56-40-6*1
Sulfur,S,g,,276.83,279.07,0.14,kJ/mol,32.0660 ±0.0060,7704-34-9*0
Ammonium,[NH4]+,g,,643.01,631.7,0.2,kJ/mol,18.03795 ±0.00029,14798-03-9*0
Imidogen,NH,g,,358.77,358.82,0.16,kJ/mol,15.014680 ±0.000099,13774-92-0*0
1-Hydroxyethyl,CH3CHOH,"g, gauche-anti",,-42.71,-56.14,0.46,kJ/mol,45.0605 ±0.0017,2348-46-1*1
Dimethylamine,(CH3)2NH,g,,4.67,-16.97,0.45,kJ/mol,45.0837 ±0.0017,124-40-3*0
Vinylacetylene,CH2CHCCH,g,,296.45,289.7,0.52,kJ/mol,52.0746 ±0.0032,689-97-4*0
Sulfur trioxide,OS(O)O,g,,-389.76,-395.51,0.24,kJ/mol,80.0642 ±0.0061,7446-11-9*0
Oxirane,O(CH2CH2),g,,-39.73,-52.28,0.33,kJ/mol,44.0526 ±0.0017,75-21-8*0
Ethoxide,[CH3CH2O]-,g,,-163.75,-178.69,0.44,kJ/mol,45.0610 ±0.0017,16331-64-9*0
Oxygen atom anion,O-,g,,105.867,108.096,0.0021,kJ/mol,15.99995 ±0.00030,14337-01-0*0
"1,3-Butadiyne",HCCCCH,g,,458.38,460.1,0.48,kJ/mol,50.0587 ±0.0032,460-12-8*0
Isocyanic acid,HNCO,g,,-115.92,-118.91,0.28,kJ/mol,43.02478 ±0.00086,75-13-8*0
Cyanamide,NH2CN,g,,141.63,135.62,0.78,kJ/mol,42.04006 ±0.00082,420-04-2*0
Difluorophosgene,CF2O,g,,-603.34,-606.44,0.4,kJ/mol,66.00691 ±0.00085,353-50-4*0
Methylium,[CH3]+,g,,1099.353,1095.409,0.045,kJ/mol,15.03397 ±0.00083,14531-53-4*0
Hypofluorous acid,HOF,g,,-84.38,-87.28,0.19,kJ/mol,36.00574 ±0.00031,14034-79-8*0
Nitric acid,HON(O)O,"aq, 1000 H2O",,,-206.19,0.18,kJ/mol,63.01288 ±0.00091,7697-37-2*839
Isobutene,CH2C(CH3)2,g,,4.3,-16.76,0.32,kJ/mol,56.1063 ±0.0032,115-11-7*0
2-Hydroxyethyl,CH2CH2OH,"g, gauche-syn",,-12.88,-26.14,0.48,kJ/mol,45.0605 ±0.0017,4422-54-2*1
N-Methylenemethanamine,CH3NCH2,g,,94.62,79.7,0.67,kJ/mol,43.0678 ±0.0016,1761-67-7*0
Dichloromethane,CH2Cl2,g,,-86.85,-93.71,0.33,kJ/mol,84.9320 ±0.0020,75-09-2*0
Chlorobenzene,C6H5Cl,g,,67.27,52.32,0.61,kJ/mol,112.5566 ±0.0049,108-90-7*0
Nitromethane,CH3N(O)O,g,,-60.57,-74.47,0.4,kJ/mol,61.0401 ±0.0010,75-52-5*0
Hydrogen chloride,HCl,"aq, 600 H2O",,,-166.449,0.023,kJ/mol,36.46064 ±0.00090,7647-01-0*834
Methylamidogen,CH3NH,g,,188.0,177.35,0.39,kJ/mol,30.04920 ±0.00085,15622-51-2*0
Isocyanomethane,CH3NC,g,,183.81,177.26,0.47,kJ/mol,41.0520 ±0.0016,593-75-9*0
"1,2-Butadiene",CH3CHCCH2,g,,176.05,162.55,0.42,kJ/mol,54.0904 ±0.0032,590-19-2*0
Benzyl,C6H5CH2,g,,230.15,211.34,0.51,kJ/mol,91.1305 ±0.0056,2154-56-5*0
Cyclopentadienyl,CH(CHCHCHCH),g,,275.61,262.49,0.8,kJ/mol,65.0932 ±0.0040,2143-53-5*0
Ethyl hydroperoxide,CH3CH2OOH,g,,-142.48,-160.91,0.62,kJ/mol,62.0678 ±0.0018,3031-74-1*0
Trimethylsilane,SiH(CH3)3,g,,-125.8,-151.9,1.5,kJ/mol,74.1970 ±0.0025,993-07-7*0
Ethynide,[CCH]-,g,,277.3,280.71,0.18,kJ/mol,25.0299 ±0.0016,29075-95-4*0
Hydride,H-,g,,143.264,145.228,0.0,kJ/mol,1.008489 ±0.000070,12184-88-2*0
Trihydrogen cation,[H3]+,g,,1110.304,1106.696,0.013,kJ/mol,3.02327 ±0.00021,28132-48-1*0
Cyanogen chloride,ClCN,g,,135.16,135.85,0.43,kJ/mol,61.4701 ±0.0012,506-77-4*0
Phenide,[C6H5]-,g,,244.27,230.85,0.38,kJ/mol,77.1044 ±0.0048,30922-78-2*0
Cyclopropene,CH2(CHCH),g,,292.58,283.85,0.41,kJ/mol,40.0639 ±0.0024,2781-85-3*0
Formate,[HC(O)O]-,g,,-463.1,-466.75,0.55,kJ/mol,45.0180 ±0.0010,71-47-6*0
Methyl formate,HC(O)OCH3,"g, syn",,-346.83,-359.88,0.61,kJ/mol,60.0520 ±0.0017,107-31-3*1
Fluoromethylidyne,CF,g,,243.17,246.77,0.11,kJ/mol,31.00910 ±0.00080,3889-75-6*0
Acrolein,CH2CHCHO,"g, trans",,-55.12,-65.52,0.64,kJ/mol,56.0633 ±0.0024,107-02-8*1
Sulfuric acid,OS(O)(OH)2,"aq, 100 H2O",,,-887.53,0.13,kJ/mol,98.0795 ±0.0061,7664-93-9*828
Tetrafluorosilane,SiF4,g,,-1608.76,-1614.28,0.52,kJ/mol,104.07911 ±0.00030,7783-61-1*0
Oxygen atom cation,O+,g,,1560.786,1562.643,0.0021,kJ/mol,15.99885 ±0.00030,14581-93-2*0
Nitrous acid,HONO,"g, trans",,-72.964,-79.107,0.079,kJ/mol,47.01348 ±0.00061,7782-77-6*1
Hydroxymethylium,[CH2OH]+,g,,717.75,709.8,0.18,kJ/mol,31.03337 ±0.00088,18682-95-6*0
Cyanide,[CN]-,g,,63.983,67.269,0.091,kJ/mol,26.01799 ±0.00080,57-12-5*0
2-Butyne,CH3CCCH3,g,,159.57,146.61,0.45,kJ/mol,54.0904 ±0.0032,503-17-3*0
Propynylidene,HCCCH,"g, triplet",,543.71,546.71,0.58,kJ/mol,38.0480 ±0.0024,67152-18-5*1
Difluoromethane,CH2F2,g,,-443.31,-450.93,0.35,kJ/mol,52.02339 ±0.00081,75-10-5*0
Vinyl bromide,CH2CHBr,g,,88.82,74.02,0.54,kJ/mol,106.9492 ±0.0019,593-60-2*0
Silyl,SiH3,g,,204.69,199.21,0.8,kJ/mol,31.10932 ±0.00037,13765-44-1*0
Sulfurous acid,S(O)(OH)2,"aq, 2500 H2O",,,-617.3,0.14,kJ/mol,82.0801 ±0.0061,7782-99-2*898
Oxygen difluoride,FOF,g,,26.81,24.55,0.22,kJ/mol,53.99621 ±0.00030,7783-41-7*0
Hypochlorite,[ClO]-,g,,-118.6,-118.33,0.13,kJ/mol,51.45265 ±0.00095,14380-61-1*0
Hypoiodous acid,HOI,g,,-53.6,-58.3,2.8,kJ/mol,143.91181 ±0.00031,14332-21-9*0
Nitrosyl hydride,HNO,g,,109.96,106.99,0.11,kJ/mol,31.01408 ±0.00032,14332-28-6*0
Methylidyne,CH,"g, quartet",,664.92,668.25,0.44,kJ/mol,13.01864 ±0.00080,3315-37-5*2
Butatriene,CH2CCCH2,g,,328.42,322.16,0.53,kJ/mol,52.0746 ±0.0032,2873-50-9*0
Ethoxy,CH3CH2O,"g, X 2A""",,1.38,-12.52,0.42,kJ/mol,45.0605 ±0.0017,2154-50-9*51
Vinoxy,CH2CHO,g,,22.91,16.11,0.53,kJ/mol,43.0446 ±0.0016,6912-06-7*0
Ethylperoxy,CH3CH2OO,"g, gauche",,-6.1,-22.12,0.6,kJ/mol,61.0599 ±0.0017,3170-61-4*3
Acetone enol,CH3C(OH)CH2,"g, syn",,-151.25,-168.54,0.68,kJ/mol,58.0791 ±0.0025,29456-04-0*1
Phosgene,CCl2O,g,,-217.49,-219.18,0.24,kJ/mol,98.9155 ±0.0020,75-44-5*0
1-Hydroxy-2-propanone,CH3C(O)CH2OH,"g, syn-syn",,-354.41,-373.8,0.83,kJ/mol,74.0785 ±0.0025,116-09-6*11
Cyanoamidogen,HNCN,"g, doublet",,322.74,320.26,0.63,kJ/mol,41.03212 ±0.00082,12347-01-2*1
Chloroform,CHCl3,g,,-94.52,-99.42,0.39,kJ/mol,119.3767 ±0.0028,67-66-3*0
Tetrafluoroethylene,CF2CF2,g,,-670.66,-674.06,0.47,kJ/mol,100.0150 ±0.0016,116-14-3*0
Benzoyl,C6H5CO,g,,138.84,125.31,0.98,kJ/mol,105.1140 ±0.0056,2652-65-5*0
Methyl nitrite,CH3ONO,"g, cis",,-54.31,-66.1,0.69,kJ/mol,61.0401 ±0.0010,624-91-9*2
Acrylonitrile,CH2CHCN,"g, singlet",,194.02,187.25,0.6,kJ/mol,53.0627 ±0.0024,107-13-1*1
Silanol,SiH3OH,g,,-271.1,-282.7,1.2,kJ/mol,48.11666 ±0.00051,14475-38-8*0
Naphthalene,C6H4(C4H4),g,,171.15,147.68,0.54,kJ/mol,128.1705 ±0.0080,91-20-3*0
Peroxynitrous acid,HOONO,"g, cis, cis",,-5.71,-14.15,0.35,kJ/mol,63.01288 ±0.00091,14691-52-2*3
"1,2-Propadiene-1,3-diylidene",CCC,g,,814.38,823.33,0.49,kJ/mol,36.0321 ±0.0024,12075-35-3*0
Vinyl anion,[CH2CH]-,g,,236.99,232.58,0.68,kJ/mol,27.0458 ±0.0016,25012-81-1*0
Cyanogen bromide,BrCN,g,,186.8,180.2,1.4,kJ/mol,105.9214 ±0.0013,506-68-3*0
n-Butyl,CH3CH2CH2CH2,g,,103.09,80.58,0.6,kJ/mol,57.1143 ±0.0033,2492-36-6*0
neo-Pentane,C(CH3)4,g,,-134.26,-167.14,0.38,kJ/mol,72.1488 ±0.0041,463-82-1*0
trans-2-Butene,CH3CHCHCH3,"g, trans",,9.67,-10.89,0.28,kJ/mol,56.1063 ±0.0032,624-64-6*0
1-Butene,CH2CHCH2CH3,g,,21.23,0.28,0.33,kJ/mol,56.1063 ±0.0032,106-98-9*0
n-Hexane,CH3CH2CH2CH2CH2CH3,g,,-129.9,-166.77,0.32,kJ/mol,86.1754 ±0.0049,110-54-3*0
Vinyl hydroperoxide,CH2CHOOH,"g, perp-syn",,-26.05,-38.33,0.69,kJ/mol,60.0520 ±0.0017,66998-78-5*1
Propionaldehyde,CH3CH2CHO,g,,-171.1,-186.5,0.2,kJ/mol,58.0791 ±0.0025,123-38-6*0
Methyl acetate,CH3C(O)OCH3,"g, syn",,-394.14,-413.0,0.56,kJ/mol,74.0785 ±0.0025,79-20-9*1
Acetonyl,CH3C(O)CH2,g,,-18.4,-32.0,0.62,kJ/mol,57.0712 ±0.0024,3122-07-4*0
Aziridine,NH(CH2CH2),g,,143.58,127.05,0.85,kJ/mol,43.0678 ±0.0016,151-56-4*0
Tetrabromomethane,CBr4,g,,144.79,115.1,0.73,kJ/mol,331.6267 ±0.0041,558-13-4*0
Ethyl bromide,CH3CH2Br,g,,-40.98,-62.93,0.24,kJ/mol,108.9651 ±0.0019,74-96-4*0
Propadienone,CH2CCO,g,,132.21,130.58,0.61,kJ/mol,54.0474 ±0.0024,61244-93-7*0
Chlorine fluoride,ClF,g,,-55.617,-55.712,0.03,kJ/mol,54.45110 ±0.00090,7790-89-8*0
Diazynium,[NNH]+,g,,1042.58,1038.97,0.67,kJ/mol,29.02087 ±0.00016,12357-66-3*0
Nitrite,[ONO]-,g,,-182.61,-185.41,0.46,kJ/mol,46.00609 ±0.00060,14797-65-0*0
Hydroxylamine,NH2OH,"g, trans",,-33.05,-43.43,0.42,kJ/mol,33.02996 ±0.00037,7803-49-8*1
Vinylidene,CCH2,g,,411.22,412.14,0.3,kJ/mol,26.0373 ±0.0016,2143-69-3*0
Aminomethyl,CH2NH2,g,,159.43,149.59,0.35,kJ/mol,30.04920 ±0.00085,10507-29-6*0
cis-2-Butene,CH3CHCHCH3,"g, cis",,14.42,-6.85,0.38,kJ/mol,56.1063 ±0.0032,590-18-1*0
1-Butyne,CH3CH2CCH,g,,180.42,166.83,0.56,kJ/mol,54.0904 ±0.0032,107-00-6*0
Formic acid,HC(O)OH,g,,-370.98,-378.28,0.2,kJ/mol,46.0254 ±0.0010,64-18-6*0
Acetate,[CH3C(O)O]-,g,,-495.88,-505.01,0.76,kJ/mol,59.0446 ±0.0017,71-50-1*0
Methanetetraylbisamidogen,NCN,g,,451.42,451.83,0.4,kJ/mol,40.02418 ±0.00081,2669-76-3*0
Bromoform,CHBr3,g,,80.97,54.82,0.7,kJ/mol,252.7306 ±0.0031,75-25-2*0
Vinyl fluoride,CH2CHF,g,,-134.51,-142.32,0.45,kJ/mol,46.0436 ±0.0016,75-02-5*0
